emptyheaded,Jena-LTJ,RDF3X,virtuoso,blazegraph,CompactLTJ,qdag,RDFCSA,MillDB
0.005363147,0.0830741,1.03918,0.347671,0.0272951,0.001263,0.042246,0.002086,0.011
0.010435167,0.076216,0.134628,0.845533,0.0459418,0.001347,2.29078,0.00626,0.014
0.002081,0.048954,3.48936,0.243852,0.017894,0.001267,0.012376,0.001858,0.007
0.288714,0.0526199,0.136884,7.4936,0.0549569,0.000514,0.012516,0.004307,0.011
0.28678566,0.0507159,0.102231,0.850704,0.142538,0.000556,0.014629,0.008264,0.009
0.251535,0.00980186,0.192037,0.375739,0.03194,0.000139,0.026148,0.000146,0.007
0.0026234768,0.00743103,0.0657809,1.42722,0.0234468,0.000131,0.157381,0.000507,0.007
0.0038354832,0.011724,0.0474792,0.495865,0.03563,0.00046,0.021593,0.00348,0.01
0.0074226335,0.0356801,0.392937,0.611858,0.0449808,0.000191,0.193276,0.000211,0.007
0.00814256,0.067029,0.116786,0.380995,0.056993,0.000951,0.260559,0.00303,0.013
0.00237287,0.013669,0.021795,0.380666,0.660299,0.000474,0.000256,0.00488,0.008
0.00778143,0.0328109,0.0396008,0.150114,0.0594518,0.000434,0.84987,0.006977,0.009
0.0020017966,0.099673,0.059128,0.034857,0.042623,0.00042,0.184384,0.002003,0.008
0.0024426132,0.0179491,0.0386651,0.0982039,0.028456,0.000087,0.012688,0.000185,0.008
0.0049344366,0.085536,0.0703468,0.469962,0.125055,0.000619,0.069769,0.001512,0.01
0.134104,0.0769911,0.041384,0.0843251,0.114657,0.000338,0.043401,0.009563,0.009
0.0063161002,0.0117152,0.026572,0.01772,0.0331929,0.000152,0.062296,0.000144,0.007
0.009384884,0.037138,0.0121708,0.114124,0.0580802,0.001412,4.97727,0.00341,0.01
0.39388865,0.00657415,0.0112679,0.0353439,0.0305989,0.000159,0.075668,0.000945,0.005
0.0019009133,0.052592,0.070817,0.480639,0.0192411,0.000814,0.011017,0.003968,0.009
0.0016790833,0.0260289,0.0489941,0.113756,0.0414689,0.000599,0.002531,0.003269,0.008
0.0032002334,0.0038619,0.011375,0.061646,0.025115,0.000093,0.122651,0.000235,0.008
0.014023476,0.00763202,0.076591,0.039433,0.023551,0.000509,0.179694,0.000649,0.008
0.0032216366,0.120753,0.0838089,1.50598,0.276464,0.001031,0.188991,0.007474,0.016
0.007362974,0.00624514,0.0429149,0.138104,0.021594,0.000092,0.010571,0.000135,0.005
0.868752,0.0414362,0.178328,0.107168,0.037632,0.002609,0.022205,0.004306,0.007
0.00721786,0.0530479,0.068012,0.818542,0.513354,0.002678,0.047853,0.085829,0.014
0.00229503,0.0241551,0.017761,0.175691,0.0487709,0.001696,0.166577,0.006852,0.009
0.0036777665,0.026427,0.019161,0.00430202,0.060492,0.000365,1.66557,0.001563,0.006
0.511651,0.00683498,0.0453391,0.0208659,0.0345778,0.000171,0.075478,0.000381,0.007
0.00195902,0.00593305,0.019943,0.0717289,0.0232232,0.00046,0.003618,0.001094,0.006
0.01004991,0.14021,0.0207591,0.172884,0.0332501,0.000343,0.190824,0.001813,0.006
0.00671166,0.00659394,0.0149238,0.052176,0.083497,0.0002,2.17331,0.003144,0.007
0.273689,0.00914788,0.0647061,0.154809,0.041496,0.00011,0.001249,0.000701,0.008
0.005687973,0.0312991,0.018419,0.0536129,0.0237901,0.000138,0.097306,0.000277,0.009
0.13368767,0.09114,0.0307951,0.193623,3.89985,0.000211,0.003714,0.000829,0.008
0.0038993435,0.0867171,0.111502,0.136952,0.0422261,0.000495,0.011355,0.00118,0.009
0.00351781,0.0319681,0.166524,0.0867138,0.0461402,0.002023,0.085916,0.001824,0.009
0.00291876,0.0113142,0.0521269,0.00833893,0.0640368,0.000633,0.835768,0.004735,0.008
0.00226396,0.146484,0.128412,0.292816,0.055088,0.001198,0.000696,0.004163,0.01
0.0068760565,0.0188279,0.0535109,0.0961509,0.099483,0.001475,0.050201,0.010281,0.013
0.00163389,0.023838,0.0284309,0.052618,0.0381989,0.000201,0.004946,0.000646,0.009
0.013863357,0.0170481,0.39561,0.041666,0.0146279,0.001319,0.091053,0.001965,0.007
0.009437277,0.0306649,0.23409,0.0768111,0.0722919,0.001623,0.033712,0.001856,0.009
0.26389867,0.024591,0.0357909,0.191611,0.0325439,0.00017,0.034497,0.002281,0.005
0.784348,0.00970602,0.0209951,0.004035,0.043088,0.000075,2.364,0.008079,0.023
0.00510745,0.025743,0.0890129,0.0664351,0.0215359,0.000369,0.00153,0.005898,0.009
0.11648067,0.00532508,0.00919414,0.012718,0.0304871,0.000089,0.025741,0.000047,0.004
0.00402787,0.00482702,0.062412,0.00494123,0.031913,0.000148,0.205072,0.000581,0.005
0.00607298,0.0438302,0.0427072,0.00332093,0.0613618,0.001909,0.071317,0.006345,0.01
