emptyheaded,Jena-LTJ,RDF3X,virtuoso,blazegraph,CompactLTJ,qdag,RDFCSA,MillDB
0.27795467,0.135553,0.155596,1.38511,0.174478,0.000663,0.179815,0.002472,0.01
0.022543667,0.224494,1.63218,0.597204,0.14298,0.009537,1.85318,0.041066,0.028
0.31350034,0.0248969,0.120558,0.539229,0.079268,0.000069,0.449272,0.000066,0.007
0.0025945334,0.0463099,0.256972,0.067518,0.0287349,0.001151,0.059093,0.000934,0.009
0.031095833,0.0404131,0.080843,1.41077,0.0572591,0.000513,0.361238,0.002512,0.009
1.4347367,0.0195749,0.130621,0.138396,0.0246382,0.000079,0.005549,0.00007,0.005
0.042108968,0.0788162,0.0564969,0.302676,0.078974,0.000594,0.944805,0.005047,0.008
0.517889,0.0240099,0.142665,1.88243,0.147631,0.000198,0.017098,0.000587,0.005
0.552438,0.0246921,0.124201,1.01488,0.0470569,0.000969,0.031688,0.005467,0.01
0.516214,0.0324411,0.126586,0.670759,0.0505731,0.000111,0.711446,0.001445,0.008
0.55434,0.0318038,0.601745,0.124157,0.0281482,0.000196,0.188759,0.000241,0.006
1.05367,0.0333879,0.060087,0.274029,0.052737,0.004191,0.279965,0.012774,0.02
0.0320446,0.11196,0.192817,0.370468,40.521,0.013158,0.716633,0.161482,0.036
0.41296867,0.103975,0.174335,0.318347,0.024827,0.00078,0.006203,0.00346,0.009
0.00244416,0.0134859,0.061893,0.111611,0.0399969,0.000266,0.000529,0.001321,0.006
0.80401,0.155901,0.0837359,0.496135,0.363648,0.000158,0.633941,0.002005,0.008
0.79341435,0.324621,0.0755579,0.277785,0.870403,0.0775,3.44225,0.350162,0.078
0.43116,0.0114009,0.021987,0.0130348,0.0576861,0.000743,0.069805,0.006269,0.01
0.7837167,0.0170341,0.0617719,0.00971603,0.0222168,0.000122,0.029045,0.000502,0.007
0.055218,0.026967,0.0654311,0.238834,0.0450931,0.000132,0.473487,0.000257,0.004
0.0038649265,0.272858,0.110138,0.840076,8.50847,0.106081,0.459242,0.325736,0.096
0.021143533,0.0362501,0.0641341,0.300211,0.0620348,0.000576,0.096385,0.00247,0.008
0.122848,0.0401678,0.055052,0.176405,0.053093,0.000136,32.98,0.000669,0.005
0.783485,0.0286319,0.0192809,0.04462,0.0573189,0.000426,0.015539,0.005116,0.008
0.07987997,0.00866413,0.0395701,0.023639,0.0292161,0.000251,0.416002,0.001138,0.005
0.021570766,0.0138061,0.0553801,0.0102441,0.035758,0.000196,0.184012,0.000221,0.008
0.249649,0.0417969,0.40502,0.156311,0.34267,0.127825,0.06183,0.003453,0.043
0.52739567,0.0370889,1.5458,0.144531,0.0435741,0.001163,0.023415,0.001684,0.006
0.0020264867,0.025032,0.046411,1.54164,0.122818,0.004135,0.01374,0.011974,0.018
0.069455765,0.149243,0.025285,0.218503,1.33739,0.087686,0.012503,0.123772,0.096
0.035075333,0.0537412,0.0274,0.11706,0.0242162,0.000189,0.009223,0.000897,0.008
0.618237,0.0541191,0.063206,0.167802,0.948991,0.006485,0.298682,0.041062,0.015
0.53078735,0.00608086,0.037133,0.00730991,0.029038,0.000149,0.103331,0.000673,0.008
0.0059908233,0.036499,0.411399,0.566402,0.107955,0.001514,0.0652,0.001359,0.01
0.0991673,0.01086,0.0369198,0.0555649,0.0622952,0.000081,1.26489,0.008347,0.01
0.7849027,0.010278,0.0304699,0.0205922,0.0184281,0.000202,0.028986,0.000283,0.008
0.0027336634,0.00539684,0.0126638,0.00342798,0.024682,0.000258,0.085709,0.001005,0.008
2.7482567,0.00739002,0.031651,0.0285869,0.0440199,0.000266,0.059068,0.001391,0.006
0.055474665,0.0614581,0.0800271,0.179169,0.0347931,0.000244,0.005507,0.000647,0.009
0.16833234,0.0305932,0.032928,0.00451302,0.0342641,0.00148,0.007709,0.003021,0.009
0.015616767,0.00668812,0.0304871,0.0157042,0.0255251,0.000339,0.303598,0.001674,0.008
0.7123273,0.0334439,0.143818,0.095885,0.050832,0.000085,0.333435,0.002119,0.007
0.028900933,0.0277889,0.0182612,0.035063,0.0507731,0.002627,0.12802,0.002749,0.01
0.40302268,0.047817,0.0583718,0.06952,0.118345,0.000673,5.67601,0.010761,0.009
0.025383666,0.00602484,0.0236661,0.0236359,0.0726581,0.000145,0.33038,0.000739,0.006
0.77891535,0.0137501,0.0307319,0.00563002,0.044251,0.001368,0.613497,0.006718,0.01
0.043695033,0.020473,0.040864,0.481495,0.0936301,0.000059,0.128754,0.000468,0.005
0.67942166,0.0258839,0.02421,0.0630381,0.0673351,0.003284,0.187062,0.008117,0.012
0.009612284,0.00667,0.0592599,0.0375478,0.039577,0.000089,11.7143,0.001361,0.006
0.51112235,0.025054,0.0321472,0.0455511,0.0347672,0.000502,0.151786,0.002022,0.004
