emptyheaded,Jena-LTJ,RDF3X,virtuoso,blazegraph,CompactLTJ,qdag,RDFCSA,MillDB
0.26572633,0.0578082,0.267318,0.939857,0.053726,0.000262,0.000359,0.003196,0.008
0.012508503,0.15506,0.98075,76.7617,0.523119,0.00125,0.001585,0.04792,0.013
0.011939834,0.0453999,0.138032,0.347634,0.0585039,0.000051,0.000315,0.001059,0.007
0.0033633134,0.117555,0.462036,1.42205,0.0419149,0.000156,0.000431,0.000355,0.005
0.005501067,0.0394611,0.0560989,0.19789,0.0306818,0.000317,0.000063,0.002142,0.009
0.008704853,0.0488272,0.0440571,0.096467,0.0304639,0.00009,0.007929,0.00061,0.009
0.508981,0.180172,0.761022,0.728949,0.056309,0.000749,0.033576,0.002452,0.01
0.0012318867,0.0353689,0.572603,0.170172,0.0980699,0.000933,0.000555,0.003306,0.01
0.00480908,0.096173,0.0824471,0.335901,0.0886919,0.000102,0.001959,0.006075,0.009
0.500713,0.077693,1.2732,0.205432,0.027595,0.003507,0.000881,0.005453,0.009
0.27018002,0.114204,0.95474,0.182806,0.040585,0.001413,0.000377,0.005692,0.01
0.13986,0.184032,1.053,1.07909,0.0226312,0.003545,0.020264,0.008646,0.01
0.0010894267,0.0217471,0.026943,0.155132,0.0347302,0.000067,0.000115,0.00106,0.006
0.00146286,0.0432429,0.125576,0.090035,0.0472929,0.000468,0.000215,0.001724,0.009
0.0017158467,0.0165422,0.0137711,0.021728,0.0423,0.000281,0.001237,0.00512,0.009
0.0015323734,0.0536392,0.037004,1.45044,0.0418379,0.00007,0.000279,0.000902,0.008
0.0121941,0.0613031,0.0357502,0.124036,0.031718,0.000612,0.025793,0.004396,0.006
0.0117672,0.06041,3.14109,0.0875311,0.0219381,0.003487,0.001838,0.007176,0.009
0.0049908734,0.0617268,0.036325,0.102708,0.0229309,0.000071,0.000172,0.000271,0.008
0.00398943,0.0270512,0.0303559,0.0396862,0.035763,0.000092,0.000852,0.000676,0.004
0.00158366,0.0397539,0.035023,0.105943,0.036145,0.000033,0.000729,0.000098,0.007
0.0019122267,0.101705,0.312367,0.455569,0.0280042,0.003954,0.000435,0.009687,0.012
0.0047499565,0.121702,0.179811,0.180559,0.045274,0.001868,0.00232,0.011698,0.012
0.0011164767,0.016192,0.097188,0.0670319,0.0928109,0.001186,0.000123,0.015091,0.009
0.013508524,0.012495,0.077318,0.00344205,0.0336871,0.000333,0.015538,0.001243,0.006
0.157974,0.0379488,0.0303249,0.0217421,0.051887,0.000976,0.000578,0.003851,0.011
0.13629067,0.04827,0.030489,0.421034,0.0245819,0.000039,0.001438,0.000198,0.006
0.15247767,0.0113161,0.042944,0.0460689,0.0239248,0.000174,0.001454,0.00078,0.008
0.0019950466,0.021131,0.126377,0.022711,0.035754,0.000914,0.000222,0.004113,0.008
0.00616192,0.00432992,0.00960517,0.0772319,0.0259049,0.00006,0.02663,0.000192,0.007
0.00208454,0.0793421,0.0778229,0.072506,0.143065,0.000079,0.016135,0.012045,0.008
0.004152893,0.025713,0.330077,0.046998,0.0189168,0.001429,0.000153,0.002135,0.006
0.0027197201,0.0351739,0.630528,0.062561,0.0452392,0.002169,0.00055,0.006335,0.01
0.011233034,0.0269389,0.0442531,0.131165,0.0685139,0.001021,0.00076,0.005112,0.011
0.0017558433,0.064683,0.114786,0.073736,0.018801,0.002705,0.00035,0.005254,0.011
0.008739464,0.00690413,0.0156331,0.0807688,0.0392308,0.000035,0.003148,0.001634,0.005
0.26127234,0.014715,0.0489571,0.0124371,0.0215139,0.000422,0.002622,0.000753,0.008
0.0018918233,0.050607,0.0924151,0.229215,0.0538669,0.000373,0.000426,0.000936,0.005
0.0012171267,0.0186019,0.035058,0.0509589,0.035126,0.000285,0.000087,0.001778,0.007
0.0014194034,0.0260849,0.0320051,0.067261,0.030375,0.000084,0.00149,0.000308,0.008
0.008614717,0.031136,0.0308399,0.164625,0.0382311,0.000252,0.004251,0.001213,0.006
0.00127375,0.0188789,0.025789,0.089879,0.034492,0.000187,0.000517,0.001793,0.006
0.0022514767,0.0171342,0.01421,0.074064,0.0306332,0.000353,0.000339,0.001808,0.007
0.00270689,0.0547891,0.058692,0.147187,0.412423,0.000165,0.000173,0.000972,0.006
0.49942666,0.023236,0.0842609,0.0531268,0.0744641,0.000067,0.001308,0.000253,0.005
0.0012354767,0.00837397,0.018085,0.019784,0.073523,0.00023,0.002043,0.00282,0.008
0.0030067833,0.0521259,0.214266,0.063014,0.0204542,0.002533,0.001144,0.005206,0.011
0.00114204,0.0430899,0.0380301,0.00243783,0.0341959,0.000082,0.000112,0.000771,0.008
0.26657635,0.00966096,0.0804739,0.0396309,0.073966,0.00073,0.006735,0.0023,0.007
0.00456668,0.0415211,0.0370378,0.068748,0.027776,0.000477,0.015803,0.002842,0.01
