emptyheaded,Jena-LTJ,RDF3X,virtuoso,blazegraph,CompactLTJ,qdag,RDFCSA,MillDB
0.00398961,0.0119591,0.158642,0.449335,0.0284882,0.000106,0.00453,0.000197,0.006
0.0013582967,0.0116608,0.0670989,0.34615,0.0262492,0.000186,0.005078,0.002342,0.009
0.0032147067,0.088418,3.4498,0.412711,0.0323789,0.00303,0.962416,0.011705,0.012
0.007536947,0.045227,0.23372,0.189139,0.0253561,0.000143,8.60665,0.003259,0.005
0.0024556734,0.0230439,0.488908,0.194552,0.0264149,0.001633,0.056488,0.001704,0.01
0.0020534133,0.023845,1.10259,0.939034,0.0200419,0.001304,0.012636,0.002769,0.011
0.0028803167,0.00651693,0.061964,0.17595,0.0335801,0.000101,0.000927,0.00049,0.005
0.0024285167,0.0076468,0.074362,0.307251,0.0230782,0.000072,0.006156,0.000134,0.006
0.009206717,0.112791,0.142373,1.52471,0.0480559,0.000176,0.000356,0.000712,0.006
0.0018463266,0.033406,0.940563,3.59983,0.020267,0.001199,0.002702,0.000542,0.007
0.008659626,0.0266991,2.82018,0.341018,0.0203519,0.001057,0.924157,0.001997,0.011
0.008272174,0.015615,0.807685,0.30527,0.0751419,0.006617,0.252593,0.01836,0.01
0.00233316,0.00816703,0.0615001,0.212387,0.0283608,0.000256,0.001949,0.00208,0.006
0.0018237567,0.00483203,0.0330939,0.182759,0.033704,0.000097,0.022699,0.001104,0.004
0.00217658,0.0646579,0.0607948,0.380077,0.12385,0.000152,0.214445,0.034673,0.007
0.25962132,0.00574803,0.0456998,0.131156,0.026361,0.000242,3.07516,0.003495,0.005
0.0022986233,0.00762081,0.0750289,0.27764,0.034555,0.000071,0.094672,0.000669,0.007
0.0039637135,0.0157001,1.12644,0.0326822,0.0369291,0.00212,0.19143,0.01408,0.007
0.0030396266,0.00473499,0.0641022,0.159757,0.028203,0.000078,0.000379,0.000127,0.007
0.00325491,0.00789213,0.0398369,0.167294,0.0215731,0.000082,0.011206,0.000518,0.007
0.0037276035,0.0163832,0.0355,0.095752,0.026135,0.000278,0.021115,0.004944,0.008
0.0028643266,0.00757194,0.0470629,0.130843,0.03369,0.000088,0.980479,0.002272,0.008
0.00805238,0.00787902,0.0388138,0.0204978,0.0251222,0.000141,0.895803,0.002662,0.005
0.00395141,0.294052,0.131018,1.69713,0.113783,0.000136,0.219815,0.00487,0.005
0.0069396533,0.0446548,2.25771,0.159321,0.0303369,0.005669,37.1019,0.046075,0.016
0.00183618,0.0070951,0.173251,0.171104,0.0239019,0.000828,0.070331,0.006715,0.01
0.18409567,0.108549,0.0109169,0.162433,0.0275011,0.000257999,0.038163,0.000835,0.009
0.0056048664,0.01496,0.0239098,0.025249,0.0233521,0.000164,0.002603,0.001391,0.008
0.0022229266,0.00660086,0.0459611,0.159677,0.0233629,0.000199,0.16614,0.004249,0.008
0.0044772867,0.00580597,0.0433202,0.17328,0.035907,0.000072,0.714593,0.003204,0.005
0.0165868,0.0109582,0.0360072,0.164259,0.0271661,0.000229,0.001852,0.003147,0.008
0.006205173,0.0582521,0.0952802,0.247777,0.0793889,0.000759,0.161133,0.04446,0.009
0.0048338035,0.150059,0.0463128,0.233139,0.095603,0.000082,0.000644,0.033269,0.008
0.0031968667,0.00495911,0.04055,0.0381742,0.0381801,0.000059,0.103921,0.000577,0.005
0.0022829934,0.0101788,0.101042,0.178506,0.024189,0.000652,0.004258,0.004548,0.009
0.00758611,0.00616002,0.0464849,0.0182221,0.028522,0.000417,0.014097,0.002862,0.01
0.12573233,0.00563311,0.0327499,0.037915,0.0685089,0.000081,0.102484,0.002514,0.005
0.132578,0.016129,0.460788,0.0664229,0.0373249,0.001838,0.09245,0.007654,0.01
0.00776845,0.00556493,0.0656819,0.0959308,0.0224991,0.00034,0.004884,0.003386,0.004
0.0538836,0.00752902,0.0117161,0.00768709,0.0432599,0.000084,0.025275,0.01192,0.007
0.00240078,0.00606704,0.0319529,0.0687771,0.023905,0.000073,0.41703,0.000059,0.008
0.00329899,0.0413299,0.049737,0.287851,0.025239,0.000149,0.053549,0.000679,0.008
0.0014533467,0.0076828,0.0207281,0.721963,0.0267711,0.000352,0.008762,0.001703,0.008
0.0018517501,0.00668597,0.052537,0.253311,0.0236731,0.000219,0.018536,0.003604,0.006
0.0020123567,0.00500202,0.047575,0.0241981,0.0203249,0.000208,0.26105,0.000706,0.008
0.00271813,0.00664806,0.0860949,0.0931919,0.0219889,0.000576,0.160834,0.005325,0.005
0.0016232433,0.00749111,0.0530841,0.057457,0.0447791,0.000198,0.012765,0.000497,0.005
0.0025424,0.014874,0.064028,0.0919321,0.0186701,0.001559,0.521792,0.000346,0.006
0.00373263,0.00363016,0.0230572,0.0258601,0.0234611,0.00028,0.007158,0.001495,0.006
0.004333563,0.0224869,0.548168,0.0431831,0.0237899,0.002934,1.20091,0.006817,0.01
