emptyheaded,Jena-LTJ,RDF3X,virtuoso,blazegraph,CompactLTJ,qdag,RDFCSA
0.015155899,0.033381,0.141449,1.33778,0.035876,0.001556,0.661654,0.008602
0.0029208635,0.125124,0.128484,0.809416,0.036238,0.000093,0.0121259,0.001611
0.0032760266,0.0140688,0.151847,3.73827,0.026227,0.000125,1.66718,0.00053
0.00861304,0.093025,0.128241,1.54606,0.044729,0.000345,0.866336,0.01824
0.0035694167,0.0105321,0.100359,0.331157,0.022506,0.000104,4.48561,0.003066
0.004321307,0.0311389,0.112034,0.467717,0.034656,0.000216,5.2703,0.011363
0.682801,0.00662303,0.0620761,0.0887599,0.0237689,0.000171,6.57282,0.000845
0.004417787,0.0151331,0.21597,0.045747,0.0246189,0.000682,35.3854,0.001321
0.0154083,0.0103641,0.129321,0.267008,0.03438,0.000501,711.754,0.008217
0.010218513,0.0766301,0.0881109,0.482846,0.040839,0.000605,0.36608,0.011099
0.0063023968,0.0329289,0.211122,0.104202,0.0310919,0.000251,39.5188,0.000801
0.00787485,0.00775289,0.318178,0.250633,0.034878,0.000442,1.50333,0.005427
0.0039072335,0.00717616,0.106344,0.241315,0.044662,0.00048,0.489173,0.0078
0.0074860067,0.075969,0.118711,0.410687,0.0240369,0.000068,15.1291,0.004336
0.00315593,0.0521789,0.149638,0.224961,0.0274391,0.000463,0.168958,0.007811
0.005234997,0.211034,0.122013,0.551377,0.0295269,0.000202,17.6324,0.005131
0.008535333,0.00739598,0.0269082,0.050873,0.0250061,0.000074,41.579,0.001626
0.0056744902,0.045804,0.141783,0.353948,0.0414619,0.000575,17.4161,0.006669
0.77209604,0.288325,0.051729,600.1,0.229061,0.000159,0.690565,0.000891
0.0037377034,0.00853896,0.0512831,0.264181,0.024611,0.000054,39.5726,0.000426
0.610371,0.0519788,0.376814,0.298398,0.0163221,0.000802,17.1888,0.001609
0.0029798201,0.143557,0.0251431,0.0412049,0.023015,0.000116,0.0228038,0.00159
0.0171003,0.014194,0.346457,0.174999,0.0331109,0.001,23.3252,0.010823
0.00420535,0.008636,0.0603001,0.0471051,0.0229728,0.000124,0.000965141,0.000335
0.00988474,0.0122929,0.062566,0.980668,0.083472,0.000184,228.164,0.011958
0.5425597,0.165526,0.224899,0.211826,0.037339,0.000765,35.2822,0.008684
0.008972583,0.019311,0.0601192,0.214138,0.0245759,0.000434,6.13299,0.007673
0.0028807833,0.00897097,0.04017,0.177578,0.0473402,0.00014,1.33666,0.009408
0.0108708,0.0853209,0.10105,0.398332,0.0228961,0.000518,2.16328,0.005569
0.00405305,0.0358741,0.080791,0.213909,0.0387459,0.000186,17.7149,0.000991
0.007891953,0.122879,0.08727,0.193676,0.0207019,0.000156,35.4909,0.00523
0.011242757,0.037442,0.882675,0.337498,0.0247109,0.003294,0.0733604,0.01486
0.014770666,0.01492,0.122305,0.370784,0.0224421,0.000904,5400,0.007866
0.0057764966,0.010814,0.068594,0.262689,0.0339322,0.000207,3.40897,0.00436
0.0195136,0.0127521,0.0427239,0.221563,0.0301058,0.000107,361.308,0.005244
0.00545673,0.0314651,0.051259,0.293688,0.0279701,0.00025,27.333,0.004348
0.0038367999,0.0190539,0.0589249,0.588494,0.01531,0.000591,31.4208,0.00083
0.5455547,0.0118871,0.057951,0.187876,0.025486,0.000198,3.14332,0.001907
0.26465067,0.01475,0.0460501,0.0926411,0.02613,0.000081,7.70216,0.000686
0.004002757,0.014159,0.0938759,0.168775,0.0235422,0.000553,24.2562,0.003851
0.0024844666,0.00669384,0.0532908,0.112756,0.024328,0.000384,55.4396,0.002772
0.004862237,0.0284939,0.073318,0.219959,0.014708,0.000239,0.00146562,0.000885
0.0047736764,0.0108838,0.0107899,0.033076,0.035218,0.000094,15.0318,0.000774
0.013428466,0.00873303,0.0399952,0.0993891,0.0566871,0.001446,46.2811,0.007508
0.00583851,0.0138552,0.0163741,0.308705,0.0731361,0.000992,24.3643,0.008196
0.009355477,0.00749206,0.0472739,0.085063,0.0490091,0.000147,10.1307,0.008215
0.018626332,0.051944,0.0337861,0.336382,0.17583,0.001092,9.45031,0.006502
0.0045142164,0.033138,0.061815,0.57363,0.030422,0.000066,319.992,0.007658
0.0025387,0.0117021,0.0348971,7.05471,0.035125,0.000211,0.838396,0.000407
0.0033398333,0.00394606,0.0391319,0.18701,0.0253799,0.000056,2.08164,0.0004
