emptyheaded,Jena-LTJ,RDF3X,virtuoso,blazegraph,CompactLTJ,qdag,RDFCSA,MillDB
0.00037504334,0.483473,0.221334,0.118184,0.051542,0.002946,0.000184,0.006979,0.014
0.00041097068,0.0638821,0.0961828,0.275717,0.107855,0.01782,0.000253,0.042974,0.03
0.00053689966,0.106587,0.0948529,0.217429,0.0591202,0.000135,0.000081,0.003792,0.008
0.00264597,0.00707102,0.0552549,0.040421,0.0251188,0.000043,0.002264,0.000387,0.009
0.0012079667,0.0181611,0.046041,0.107343,0.0255399,0.000783,0.000346,0.003733,0.007
0.00965216,0.0166881,0.191347,0.00633001,0.0590119,0.002594,0.002365,0.006488,0.012
0.0044347765,0.0106421,0.0447819,0.106524,0.030421,0.000559,0.00278,0.002875,0.006
0.00146583,0.074784,0.101544,0.00687099,0.318649,0.001861,0.000723,0.00812,0.009
0.00059408165,0.0197911,0.29811,0.00562096,0.123945,0.024815,0.000331,0.100346,0.027
0.0019158134,0.0297501,0.0809109,0.00529695,0.06516,0.000223,0.000359,0.000448,0.008
0.0012273367,0.0287049,0.354884,0.00652409,0.0875349,0.027889,0.000305,0.085628,0.038
7.74518,0.00747991,0.021301,0.00312018,0.022702,0.000045,0.002851,0.000424,0.008
0.006129534,0.0138929,0.108759,0.00532484,3.03503,0.001233,0.000103,0.003256,0.006
0.029668532,0.0124161,0.0136209,0.00546813,0.104392,0.003931,0.012663,0.001326,0.012
0.0022452667,0.089021,0.032423,0.188971,0.174644,0.000333,0.001094,0.001334,0.009
0.000636812,0.100871,0.0739121,0.115167,0.0324941,0.000308,0.000318,0.001743,0.007
0.00440328,0.0137041,0.0268569,0.00478387,0.0695529,0.003552,0.000465,0.009759,0.013
0.00037872867,0.0227101,0.0343561,0.00505805,0.055625,0.002018,0.000092,0.011707,0.009
0.00370995,0.0150678,0.0270698,0.00492501,0.135195,0.000243,0.00131,0.000467,0.007
0.0009777707,0.00767612,0.101091,0.00335717,0.043411,0.000493,0.000508,0.001931,0.006
0.008703614,0.011955,0.0225761,0.0046761,0.0352092,0.000664,0.000057,0.002523,0.006
0.00039489398,0.036808,0.0712171,0.020112,0.414261,0.01455,0.000091,0.025496,0.03
0.00053245766,0.0224621,0.0425789,0.0365798,0.086185,0.002204,0.000291,0.007756,0.016
0.00710235,0.528561,0.380841,0.266251,1.30193,0.132439,0.000673,0.335376,0.1
0.00632875,0.0184431,0.023612,0.00846195,0.0496099,0.006611,0.000941,0.015233,0.012
0.00039547635,0.0122771,0.02406,0.187284,0.0709748,0.001491,0.000171,0.005227,0.011
0.000411841,0.00483394,0.132428,0.00359201,0.0368991,0.000168,0.000486,0.001436,0.007
0.0005124627,0.0113108,0.0247741,0.00422597,0.071892,0.000276,0.000193,0.001591,0.009
0.0017381567,0.463375,0.446134,0.13807,4.95928,0.206058,0.000487,0.474768,0.151
0.00052212935,0.014765,0.0339911,0.00440287,0.072576,0.000229,0.000242,0.000441,0.008
0.0906001,0.0240979,0.032877,0.00475812,0.12062,0.000888,0.002781,0.00961,0.012
0.00180669,0.023144,0.0406649,0.00757098,0.073153,0.000786,0.001577,0.006386,0.01
0.000355812,0.132788,0.205781,0.0915442,0.316446,0.057929,0.000419,0.141766,0.073
0.00039058866,0.078759,0.0279071,0.00634098,0.198738,0.039396,0.000645,0.082552,0.035
0.0011532634,0.00454998,0.022747,0.00295401,0.0451789,0.001529,0.001371,0.005505,0.009
0.03583007,0.0326731,0.0312722,0.164559,0.0593472,0.006767,0.000174,0.004159,0.014
0.00039711467,0.00854111,0.022135,0.00315714,0.0284061,0.008672,0.000362,0.024063,0.029
0.00265832,0.00803089,0.011699,0.005229,0.0520389,0.000791,0.002407,0.004406,0.01
0.0028562534,0.00558496,0.0259118,0.004704,0.0347559,0.000212,0.001319,0.004074,0.008
0.0010717344,0.0082531,0.0171781,0.00250196,0.0283868,0.001033,0.000051,0.002179,0.006
0.000548271,0.073806,0.0378871,0.00823498,0.235622,0.001175,0.000096,0.008553,0.009
0.00043240434,0.056401,6.21595,0.0132051,0.249117,0.003439,0.000089,0.007121,0.009
0.00060393533,0.00585198,0.100667,0.00303292,0.0391588,0.000165,0.000096,0.00137,0.008
0.00059782364,0.0262299,0.021982,0.008636,0.059103,0.00854,0.000128,0.022829,0.015
0.0048438488,0.147873,0.074935,0.638578,1.32152,0.044067,0.000126,0.140759,0.066
0.000447094,0.0217938,0.0316191,0.025718,0.27143,0.083952,0.000525,0.143236,0.06
0.0005245623,0.010839,0.0271549,0.00392199,0.0392652,0.000415,0.000283,0.001231,0.008
0.0009526673,0.00732207,0.0156419,0.004076,0.0467901,0.000421,0.000051,0.00423,0.009
0.00129914,0.00837612,0.0266919,0.00339913,0.0281069,0.000652,0.000141,0.002323,0.008
0.033423867,0.279207,0.0558,0.0110748,0.119955,0.031303,0.000034,0.072956,0.027
