sigmod21,sigmod21_adaptive,one_ring_muthu_leap,one_ring_muthu_leap_adaptive,backward_only,backward_only_muthu,backward_only_adaptive,backward_only_adaptive_muthu
1660000.0,1705000.0,2732000.0,2792000.0,4702000.0,7554000.0,5768000.0,3189000.0
7428000.0,7665000.0,28834000.0,7596000.0,17048000.0,5205000.0,27879000.0,4605000.0
6798000.0,7183000.0,9007000.0,6980000.0,49897000.0,8812000.0,54367000.0,11434000.0
4436000.0,2856000.0,5830000.0,3594000.0,30234000.0,2954000.0,6796000.0,2051000.0
2868000.0,3346000.0,3560000.0,8097000.0,7335000.0,1735000.0,8976000.0,1802000.0
659000.0,3101000.0,765000.0,752000.0,1721000.0,609000.0,2810000.0,658000.0
2018000.0,5055000.0,868000.0,1349000.0,2366000.0,617000.0,2460000.0,519000.0
9759000.0,24038000.0,4313000.0,5047000.0,3799000.0,1363000.0,6467000.0,1427000.0
2172000.0,4250000.0,1385000.0,1123000.0,2472000.0,1141000.0,3011000.0,2236000.0
4666000.0,10813000.0,4669000.0,7047000.0,2768000.0,1492000.0,3567000.0,1606000.0
3037000.0,10277000.0,3745000.0,2568000.0,2433000.0,1037000.0,3102000.0,1176000.0
2353000.0,4171000.0,4670000.0,8006000.0,1460000.0,1089000.0,8952000.0,1130000.0
566000.0,954000.0,1045000.0,344000.0,511000.0,507000.0,567000.0,354000.0
1040000.0,1400000.0,803000.0,505000.0,1321000.0,2077000.0,1222000.0,450000.0
6035000.0,10829000.0,5448000.0,3537000.0,4197000.0,6731000.0,4962000.0,1710000.0
2528000.0,2688000.0,2154000.0,1707000.0,1417000.0,3551000.0,1621000.0,786000.0
1199000.0,2440000.0,2048000.0,721000.0,1024000.0,1251000.0,1153000.0,443000.0
6147000.0,6211000.0,6387000.0,6213000.0,3827000.0,5820000.0,4918000.0,2980000.0
1190000.0,2211000.0,2342000.0,1052000.0,623000.0,1197000.0,1036000.0,477000.0
7216000.0,10667000.0,11424000.0,6139000.0,9456000.0,7843000.0,18302000.0,5929000.0
4639000.0,7757000.0,6867000.0,5157000.0,2375000.0,3014000.0,3072000.0,1871000.0
701000.0,1257000.0,878000.0,520000.0,415000.0,518000.0,608000.0,264000.0
1361000.0,1722000.0,1727000.0,1720000.0,1190000.0,1335000.0,1125000.0,1208000.0
7224000.0,9421000.0,7882000.0,7163000.0,3716000.0,4196000.0,4037000.0,3278000.0
352000.0,1036000.0,1430000.0,630000.0,303000.0,721000.0,348000.0,417000.0
14773000.0,14192000.0,12699000.0,12760000.0,18415000.0,20154000.0,19172000.0,12434000.0
13995000.0,17228000.0,17551000.0,13609000.0,16651000.0,11054000.0,10096000.0,6449000.0
11081000.0,10787000.0,9870000.0,9777000.0,4969000.0,4972000.0,5679000.0,10501000.0
2911000.0,3080000.0,2879000.0,2146000.0,1400000.0,1856000.0,1439000.0,1277000.0
978000.0,1381000.0,781000.0,783000.0,594000.0,891000.0,577000.0,497000.0
804000.0,1262000.0,879000.0,839000.0,559000.0,808000.0,492000.0,566000.0
2412000.0,3406000.0,2315000.0,1964000.0,1199000.0,1439000.0,1344000.0,959000.0
1259000.0,1818000.0,1195000.0,1390000.0,672000.0,791000.0,641000.0,532000.0
642000.0,849000.0,1414000.0,801000.0,1054000.0,949000.0,724000.0,708000.0
504000.0,632000.0,475000.0,427000.0,543000.0,460000.0,464000.0,346000.0
747000.0,1210000.0,1344000.0,695000.0,676000.0,511000.0,548000.0,393000.0
2384000.0,3465000.0,5003000.0,1742000.0,4058000.0,2473000.0,1895000.0,1449000.0
3829000.0,3620000.0,3509000.0,2576000.0,3715000.0,2799000.0,3115000.0,2147000.0
7000000.0,4488000.0,4485000.0,3452000.0,2044000.0,2556000.0,3095000.0,1782000.0
3894000.0,5605000.0,5260000.0,4032000.0,3017000.0,3289000.0,4190000.0,2734000.0
5611000.0,6183000.0,5234000.0,4949000.0,3406000.0,4016000.0,4492000.0,3400000.0
1124000.0,2315000.0,977000.0,845000.0,692000.0,927000.0,1574000.0,460000.0
3192000.0,3600000.0,4563000.0,3294000.0,3499000.0,3206000.0,4911000.0,3608000.0
4502000.0,4927000.0,6734000.0,7477000.0,6049000.0,8282000.0,13709000.0,7356000.0
800000.0,1163000.0,789000.0,1058000.0,708000.0,902000.0,1337000.0,538000.0
217000.0,266000.0,206000.0,271000.0,173000.0,212000.0,192000.0,122000.0
2778000.0,3119000.0,2945000.0,3217000.0,3198000.0,2507000.0,2977000.0,2910000.0
113000.0,179000.0,163000.0,233000.0,161000.0,210000.0,176000.0,117000.0
835000.0,1074000.0,1067000.0,952000.0,1930000.0,1146000.0,844000.0,481000.0
14675000.0,12255000.0,16171000.0,11291000.0,4694000.0,4568000.0,5232000.0,4717000.0
