backward_only,backward_only_adaptive,backward_only_leap_adaptive_muthu,backward_only_muthu,backward_only_leap_muthu,sigmod21,one_ring_muthu_leap,backward_only_leap,one_ring_muthu_leap_adaptive,sigmod21_adaptive,backward_only_adaptive_muthu
0.00402,0.003195,0.003123,0.00998,0.008495,0.002821,0.008262,0.003188,0.00334,0.002567,0.009268
0.002605,0.002561,0.003291,0.003092,0.002977,0.003072,0.002673,0.003324,0.003135,0.002822,0.004014
0.000351,0.000356,0.000555,0.001235,0.001542,0.000581,0.001171,0.000446,0.003482,0.000482,0.00123
0.000548,0.000554,0.001107,0.001166,0.001358,0.001458,0.001622,0.000796,0.002634,0.000914,0.001396
0.001147,0.001151,0.00295,0.001726,0.002552,0.00237,0.002308,0.004268,0.00257,0.002097,0.001833
0.001247,0.001361,0.002202,0.001657,0.002536,0.003739,0.002667,0.001935,0.003218,0.001725,0.008281
0.00426,0.013118,0.00725,0.004813,0.008903,0.006855,0.00674,0.00676,0.009006,0.007031,0.013913
0.001548,0.001205,0.00231,0.001087,0.001384,0.0016,0.00126,0.002395,0.002654,0.001014,0.002102
0.001384,0.001141,0.002101,0.001116,0.002262,0.001825,0.001754,0.002147,0.001773,0.001674,0.002213
0.004666,0.004577,0.005889,0.00414,0.005762,0.007067,0.006065,0.005875,0.007221,0.004908,0.004828
0.000333,0.000305,0.000205,0.000338,0.000287,0.000445,0.000286,0.00028,0.00028,0.000175,0.000429
0.146017,0.150043,0.150614,0.1534,0.153,0.164842,0.1521,0.136295,0.15348,0.126575,0.156817
0.002966,0.006011,0.00598,0.004992,0.003804,0.004774,0.004156,0.003654,0.004245,0.003328,0.003222
0.003894,0.005371,0.008253,0.004336,0.004131,0.003839,0.003849,0.003907,0.00375,0.006214,0.004283
0.001163,0.002064,0.003037,0.00123,0.001641,0.005646,0.001762,0.001593,0.001706,0.001444,0.001726
0.018027,0.040063,0.023828,0.019781,0.024651,0.020563,0.020881,0.018961,0.019837,0.017858,0.022576
0.008871,0.003745,0.008292,0.004048,0.005713,0.00757,0.020175,0.012385,0.004816,0.004707,0.003902
0.000338,0.00042,0.001727,0.000403,0.000428,0.00042,0.000605,0.000417,0.000686,0.000328,0.000527
0.001096,0.004528,0.001776,0.001603,0.00172,0.002416,0.002025,0.00152,0.001703,0.001702,0.003149
0.007705,0.022559,0.005329,0.00577,0.006302,0.006238,0.005667,0.006263,0.005589,0.007972,0.018676
0.000733,0.000802,0.001287,0.001142,0.000737,0.000898,0.000763,0.000781,0.001469,0.000707,0.000719
0.015455,0.035995,0.016808,0.018126,0.017135,0.018114,0.013286,0.01571,0.017563,0.016096,0.014567
0.00431,0.00426,0.003714,0.005113,0.003648,0.003483,0.003334,0.004449,0.003936,0.003515,0.0044
0.000477,0.00048,0.000613,0.0006,0.000491,0.000525,0.000456,0.00051,0.000536,0.000765,0.000508
0.006966,0.02131,0.009263,0.007109,0.006581,0.006657,0.007568,0.005292,0.005986,0.006296,0.007957
0.002473,0.002864,0.004488,0.002469,0.00352,0.00638,0.004781,0.002964,0.003548,0.003765,0.002363
0.00374,0.005192,0.005113,0.005178,0.00308,0.004749,0.003893,0.002998,0.003563,0.004459,0.005521
0.000428,0.000432,0.001112,0.000698,0.000934,0.000823,0.000909,0.000649,0.000961,0.000686,0.001023
0.000904,0.000647,0.001573,0.000981,0.002514,0.001547,0.001405,0.00128,0.001515,0.001353,0.000837
0.003413,0.002499,0.002514,0.004692,0.002438,0.002383,0.002727,0.00344,0.003412,0.00252,0.003532
0.000167,0.000181,0.000234,0.000299,0.000168,0.000221,0.000135,0.000168,0.000198,0.00015,0.000167
0.03207,0.017884,0.01135,0.028047,0.010029,0.01068,0.006228,0.010161,0.010589,0.008541,0.017792
0.009703,0.003868,0.001027,0.007153,0.002544,0.001171,0.000905,0.001008,0.001542,0.00084,0.003842
0.011054,0.007598,0.008054,0.01178,0.010131,0.009883,0.007602,0.008171,0.010652,0.010758,0.007915
0.00404,0.003501,0.003505,0.005544,0.006327,0.002967,0.003022,0.002619,0.002938,0.002558,0.004309
0.001879,0.001094,0.003598,0.001494,0.002341,0.002899,0.00295,0.002031,0.002565,0.002448,0.00153
0.000499,0.000442,0.001175,0.000661,0.000894,0.000966,0.000879,0.000961,0.001411,0.000844,0.000498
0.00055,0.000554,0.001365,0.00063,0.000696,0.000657,0.000534,0.000558,0.000665,0.000554,0.002173
0.000207,0.000233,0.000447,0.001204,0.000436,0.000377,0.000382,0.000257,0.00041,0.000292,0.001396
0.003543,0.005679,0.004047,0.005527,0.00422,0.005292,0.006689,0.00386,0.003973,0.003296,0.005405
0.000136,0.000192,0.000192,0.000149,0.000491,0.000113,0.000222,0.000156,0.000136,0.000122,0.000162
0.000383,0.000721,0.000818,0.000469,0.000608,0.00104,0.000757,0.000447,0.000514,0.001107,0.000737
0.000817,0.002023,0.001531,0.000865,0.001277,0.00168,0.00236,0.001139,0.001351,0.001232,0.001041
0.000363,0.000424,0.00033,0.000251,0.000311,0.000291,0.000388,0.000459,0.000268,0.000256,0.000325
0.000348,0.00043,0.000539,0.000268,0.000394,0.000852,0.000533,0.000571,0.000444,0.000453,0.00032
0.011012,0.044574,0.011048,0.011455,0.010803,0.01178,0.011173,0.011515,0.010765,0.010853,0.012529
0.001661,0.004615,0.002533,0.002198,0.001874,0.001772,0.001924,0.002809,0.001693,0.002126,0.001796
0.000155,0.000255,0.0002,0.00013,0.000117,0.000135,0.000177,0.000131,0.000156,0.000248,0.000146
0.001773,0.003749,0.003661,0.002196,0.004098,0.004423,0.003726,0.003003,0.006539,0.004654,0.002825
0.000788,0.000481,0.000983,0.00038,0.000436,0.00032,0.000426,0.000422,0.000366,0.000446,0.000481
