backward_only,backward_only_adaptive,backward_only_muthu,sigmod21,one_ring_muthu_leap,one_ring_muthu_leap_adaptive,sigmod21_adaptive,backward_only_adaptive_muthu
0.001,0.001459,0.003449,0.002743,0.002103,0.003512,0.001317,0.00257
0.00108,0.000951,0.02744,9.1e-05,0.051087,0.042769,8e-05,0.043794
0.009619,0.013923,0.002982,0.002865,0.003083,0.003416,0.009821,0.004111
0.041555,0.07051,0.002881,0.0278,0.004219,0.004045,0.037987,0.003164
0.001681,0.002152,0.0006,0.000657,0.001816,0.00079,0.00171,0.000612
0.004832,0.003642,0.00121,0.001856,0.001884,0.00173,0.008491,0.001054
0.001053,0.001327,0.000343,0.000438,0.00036,0.000226,0.001649,0.000242
0.013136,0.023787,0.00133,0.007787,0.002326,0.001793,0.018626,0.001103
0.017658,0.031554,0.004666,0.019948,0.010306,0.008221,0.029991,0.005046
0.002421,0.003948,0.001099,0.0045,0.002558,0.002613,0.004991,0.001109
0.020844,0.027035,0.000609,0.020384,0.001344,0.001032,0.031599,0.000577
0.001913,0.002455,0.000888,0.002257,0.002881,0.001953,0.006556,0.000905
0.005934,0.012353,0.002444,0.010141,0.005473,0.003687,0.017024,0.002301
0.000584,0.001152,0.002553,0.00097,0.003774,0.000782,0.001742,0.001296
0.005148,0.005781,0.004053,0.003392,0.003415,0.003979,0.004642,0.004098
0.003499,0.005559,0.004442,0.004314,0.005897,0.004047,0.006178,0.002954
0.008613,0.011891,0.008418,0.005054,0.007493,0.00963,0.010994,0.004575
0.00409,0.00433,0.002903,0.002364,0.002897,0.002645,0.003409,0.002364
0.00069,0.000807,0.000752,0.001976,0.001918,0.001463,0.006457,0.000597
0.002733,0.002827,0.008197,0.00188,0.019932,0.020502,0.002333,0.009104
0.004292,0.004143,0.00285,0.002631,0.002088,0.002524,0.003379,0.002531
0.004564,0.004786,0.006408,0.007131,0.005855,0.006444,0.006835,0.003338
0.010135,0.015812,0.010598,0.007458,0.008134,0.00917,0.014049,0.010857
0.002499,0.002137,0.001993,0.002133,0.001741,0.00227,0.003116,0.001902
0.000409,0.000353,0.003746,0.000326,0.004017,0.005848,0.000541,0.003767
0.003247,0.004783,0.014542,0.003056,0.022729,0.023794,0.004162,0.014891
0.006073,0.005263,0.006786,0.006484,0.005576,0.006397,0.007141,0.006021
0.012692,0.013225,0.000905,0.026646,0.00063,0.000503,0.027404,0.000356
0.008335,0.008545,0.056997,0.008882,0.076819,0.090703,0.006889,0.069583
0.008719,0.007207,0.005348,0.010026,0.005391,0.005143,0.009842,0.003993
0.001714,0.00177,0.048768,0.002661,0.078932,0.087202,0.003654,0.061058
0.006629,0.006836,0.006244,0.004557,0.005104,0.006061,0.005849,0.005585
0.000703,0.001486,0.001818,0.00234,0.001012,0.000543,0.001531,0.000369
0.000778,0.000853,0.001035,0.002571,0.001358,0.002302,0.001839,0.000829
0.002292,0.001343,0.001182,0.002098,0.001521,0.001475,0.002037,0.000857
0.038387,0.038904,0.001653,0.110671,0.001901,0.002067,0.111648,0.001342
0.003827,0.003889,0.002109,0.004179,0.003114,0.001703,0.005663,0.001369
0.00396,0.011909,0.006078,0.004824,0.005802,0.005018,0.007456,0.002819
0.000531,0.000976,0.000449,0.000426,0.000465,0.00054,0.001381,0.000725
0.001225,0.001231,0.001821,0.002261,0.002033,0.001633,0.002913,0.000915
0.001674,0.002069,0.001798,0.00234,0.002387,0.00332,0.003443,0.001507
0.002902,0.003758,0.004795,0.005866,0.00474,0.006825,0.005097,0.00335
0.00053,0.000631,0.001153,0.000599,0.000612,0.001116,0.000865,0.000501
0.034723,0.041243,0.01442,0.021836,0.016878,0.030412,0.023942,0.014296
0.000387,0.000346,0.004308,0.000351,0.006143,0.011057,0.00048,0.005574
0.000205,0.000222,0.000238,0.001006,0.000194,0.000253,0.000376,0.000144
0.002109,0.003164,0.002297,0.002721,0.003311,0.004178,0.002469,0.002576
0.000516,0.000602,0.000574,0.001038,0.000857,0.001295,0.001065,0.000424
0.000121,0.000167,0.030447,0.000162,0.050692,0.068464,0.000145,0.049133
0.000573,0.000578,0.000548,0.000626,0.001101,0.001008,0.000945,0.000495
