sigmod21,sigmod21_adaptive,one_ring_muthu_leap,one_ring_muthu_leap_adaptive,backward_only,backward_only_muthu,backward_only_adaptive,backward_only_adaptive_muthu
3537000.0,3569000.0,4229000.0,3381000.0,19431000.0,7655000.0,2859000.0,7352000.0
49816000.0,54425000.0,52154000.0,57575000.0,67941000.0,53542000.0,87898000.0,66001000.0
157000.0,158000.0,688000.0,560000.0,1049000.0,827000.0,1090000.0,1263000.0
3301000.0,3794000.0,4318000.0,2918000.0,17186000.0,5011000.0,19593000.0,7900000.0
3868000.0,4407000.0,1618000.0,1085000.0,19570000.0,1411000.0,13394000.0,970000.0
453000.0,1708000.0,544000.0,521000.0,2345000.0,1767000.0,2621000.0,922000.0
6215000.0,15054000.0,3459000.0,2754000.0,9597000.0,2226000.0,13603000.0,2516000.0
2574000.0,8032000.0,3008000.0,2220000.0,2549000.0,816000.0,3268000.0,827000.0
14676000.0,29904000.0,1821000.0,1262000.0,14176000.0,1520000.0,21258000.0,1034000.0
1188000.0,8160000.0,39926000.0,45084000.0,2898000.0,22303000.0,3527000.0,41805000.0
1148000.0,4048000.0,1490000.0,1730000.0,5341000.0,1274000.0,2872000.0,1701000.0
33166000.0,48121000.0,33399000.0,36130000.0,36456000.0,21707000.0,43961000.0,27326000.0
88363000.0,169133000.0,93196000.0,93688000.0,75761000.0,35586000.0,104740000.0,52373000.0
8511000.0,13129000.0,8096000.0,5038000.0,11170000.0,4864000.0,16108000.0,5188000.0
3358000.0,5551000.0,34702000.0,18052000.0,2637000.0,19359000.0,5272000.0,16143000.0
1416000.0,3666000.0,2640000.0,1259000.0,1342000.0,2339000.0,2006000.0,1132000.0
425236000.0,507065000.0,427035000.0,480579000.0,362211000.0,351677000.0,399383000.0,393488000.0
6924000.0,15874000.0,6066000.0,6771000.0,4265000.0,5037000.0,4763000.0,3861000.0
1109000.0,2109000.0,873000.0,1036000.0,884000.0,745000.0,1265000.0,544000.0
933000.0,907000.0,1695000.0,1005000.0,1299000.0,1810000.0,835000.0,1325000.0
721731000.0,803124000.0,5446000.0,4641000.0,614939000.0,4537000.0,661047000.0,3067000.0
5158000.0,9445000.0,12563000.0,4648000.0,3047000.0,14508000.0,4190000.0,4958000.0
984000.0,2275000.0,1125000.0,999000.0,987000.0,1604000.0,1088000.0,978000.0
5577000.0,5949000.0,4069000.0,7978000.0,2617000.0,2958000.0,5227000.0,2420000.0
2428000.0,3695000.0,2176000.0,2182000.0,1633000.0,1749000.0,1942000.0,2071000.0
991000.0,1263000.0,1351000.0,1182000.0,2184000.0,2470000.0,1341000.0,1623000.0
302920000.0,6127000.0,262864000.0,17342000.0,167371000.0,169125000.0,6863000.0,14090000.0
7680000.0,8719000.0,7118000.0,7215000.0,10216000.0,8796000.0,11070000.0,8234000.0
19536000.0,20547000.0,1004000.0,899000.0,13623000.0,1111000.0,14874000.0,650000.0
448553000.0,198501000.0,457503000.0,25461000.0,321002000.0,288290000.0,120943000.0,18184000.0
4039000.0,3715000.0,3796000.0,1712000.0,2000000.0,4483000.0,1030000.0,856000.0
24331000.0,27734000.0,25341000.0,24130000.0,12354000.0,11507000.0,13712000.0,11076000.0
2325000.0,1501000.0,1782000.0,2637000.0,816000.0,1164000.0,1198000.0,1998000.0
6622000.0,6708000.0,6158000.0,6144000.0,7304000.0,6180000.0,7459000.0,6448000.0
504000.0,516000.0,448000.0,359000.0,352000.0,324000.0,414000.0,343000.0
1351000.0,2154000.0,1239000.0,2438000.0,1201000.0,1130000.0,1931000.0,1039000.0
2471000.0,3350000.0,536000.0,470000.0,1452000.0,900000.0,1525000.0,474000.0
4066000.0,3497000.0,3783000.0,2222000.0,1275000.0,1292000.0,1482000.0,1106000.0
1541000.0,2212000.0,2079000.0,2903000.0,1780000.0,1380000.0,1279000.0,1254000.0
3848000.0,5478000.0,4016000.0,5553000.0,6747000.0,5486000.0,9487000.0,6629000.0
3455000.0,7206000.0,2962000.0,2511000.0,3289000.0,1990000.0,3644000.0,1543000.0
906000.0,1564000.0,16741000.0,19507000.0,702000.0,14762000.0,845000.0,11851000.0
12259000.0,9585000.0,1163000.0,1437000.0,11489000.0,1119000.0,6596000.0,861000.0
6302000.0,7482000.0,5448000.0,5497000.0,3689000.0,3204000.0,4386000.0,2836000.0
1096000.0,1669000.0,6662000.0,8571000.0,765000.0,5332000.0,795000.0,5504000.0
7019000.0,7784000.0,109338000.0,21459000.0,6668000.0,73957000.0,6546000.0,13697000.0
356000.0,547000.0,412000.0,696000.0,265000.0,592000.0,453000.0,310000.0
19643000.0,21793000.0,2067000.0,4937000.0,18766000.0,1908000.0,20561000.0,1103000.0
587000.0,1031000.0,3414000.0,4164000.0,577000.0,2311000.0,851000.0,2539000.0
5622000.0,4714000.0,1992000.0,2903000.0,3103000.0,2051000.0,3354000.0,1453000.0
