backward_only,backward_only_adaptive,backward_only_leap_adaptive_muthu,backward_only_muthu,backward_only_leap_muthu,sigmod21,one_ring_muthu_leap,backward_only_leap,one_ring_muthu_leap_adaptive,sigmod21_adaptive,backward_only_adaptive_muthu
0.000979,0.001002,0.001891,0.003873,0.000955,0.001591,0.000895,0.002087,0.001045,0.002002,0.001063
0.007115,0.008239,0.010898,0.002651,0.002176,0.011709,0.001385,0.009513,0.001535,0.009953,0.002153
0.035012,0.022102,0.017568,0.02847,0.032748,0.037062,0.03018,0.031881,0.01102,0.013619,0.009821
0.060284,0.063792,0.030532,0.075334,0.051903,0.052179,0.051428,0.039186,0.039193,0.023055,0.098513
0.028737,0.031787,0.026282,0.010492,0.010317,0.023124,0.010184,0.019787,0.010819,0.019258,0.012997
0.013912,0.010336,0.01119,0.003518,0.003906,0.013113,0.003281,0.012907,0.002964,0.009665,0.004369
0.00234,0.005032,0.003749,0.003219,0.009011,0.007655,0.002901,0.003101,0.003323,0.003328,0.006537
0.002105,0.002907,0.003038,0.010349,0.013328,0.004871,0.012458,0.004368,0.014426,0.003184,0.020059
0.068794,0.037844,0.05943,0.074908,0.068955,0.075039,0.081496,0.061617,0.09123,0.035802,0.105952
0.002776,0.002828,0.00639,0.00247,0.004168,0.006784,0.005027,0.003804,0.005466,0.004462,0.006634
0.020449,0.013498,0.028661,0.00132,0.001192,0.0281,0.001677,0.020921,0.001281,0.019634,0.001234
0.001211,0.001322,0.002048,0.001211,0.000939,0.003095,0.002172,0.001298,0.001084,0.002175,0.001177
0.005573,0.009026,0.008252,0.00163,0.000928,0.007771,0.001056,0.006332,0.00113,0.006097,0.001859
0.207225,0.217709,0.195453,0.222944,0.186313,0.16981,0.19882,0.1592,0.021166,0.13549,0.026153
0.004157,0.003534,0.007319,0.019142,0.017129,0.007105,0.039996,0.004889,0.036705,0.006227,0.026383
0.001374,0.002504,0.002493,0.002218,0.001945,0.003385,0.002385,0.001995,0.002061,0.002253,0.003135
0.106269,0.077352,0.087277,0.18217,0.163003,0.166037,0.174955,0.119555,0.007309,0.056059,0.009938
0.001722,0.002653,0.002566,0.002905,0.002744,0.002942,0.00264,0.002294,0.003702,0.002413,0.002283
0.026443,0.026622,0.023113,0.040955,0.030395,0.027692,0.02783,0.029877,0.031691,0.018162,0.029671
0.000635,0.001814,0.000933,0.001659,0.000928,0.001268,0.00145,0.000702,0.001463,0.000781,0.000669
0.009283,0.004532,0.008805,0.001857,0.001909,0.00744,0.001002,0.005573,0.00118,0.00495,0.002315
0.003385,0.004042,0.005496,0.00517,0.010776,0.006304,0.006681,0.005047,0.008777,0.0041,0.009251
0.151635,0.174305,0.077475,0.150226,0.161312,0.216839,0.162962,0.162024,0.110649,0.056747,0.23136
0.02374,0.018459,0.021357,0.020758,0.018804,0.033457,0.019262,0.014833,0.02214,0.016408,0.025942
0.020851,0.019472,0.018868,0.000297,0.000267,0.017784,0.000254,0.01388,0.000312,0.014802,0.000307
0.005729,0.00721,0.009956,0.007365,0.007223,0.00979,0.007697,0.008072,0.010851,0.007894,0.00876
0.076473,0.085744,0.112821,0.008805,0.009933,0.102739,0.012087,0.073611,0.001107,0.081436,0.002371
0.002266,0.000977,0.001978,0.000476,0.000259,0.001439,0.000273,0.001727,0.000286,0.001905,0.00029
0.061166,0.041859,0.061474,0.046127,0.025756,0.060597,0.024423,0.041111,0.041474,0.039306,0.065904
0.002082,0.002907,0.005502,0.002964,0.003779,0.004295,0.004456,0.004037,0.004666,0.003433,0.002683
0.010545,0.009917,0.011578,0.011358,0.008805,0.011152,0.007938,0.015015,0.022983,0.008288,0.013545
0.000474,0.000391,0.000679,0.002067,0.001002,0.000693,0.000907,0.001341,0.001961,0.000856,0.001551
0.015892,0.014445,0.01382,0.017626,0.009968,0.0155,0.006883,0.013744,0.012635,0.01055,0.015641
0.025422,0.022325,0.021578,0.04984,0.048274,0.020986,0.034539,0.015832,0.035542,0.018008,0.02636
0.001124,0.000951,0.0026,0.000297,0.000381,0.002029,0.000211,0.001613,0.000313,0.002625,0.000213
0.014185,0.001155,0.002156,0.001113,0.001649,0.027327,0.003051,0.023376,0.002149,0.001692,0.000971
0.032121,0.003433,0.006125,0.037752,0.066805,0.047969,0.036952,0.047923,0.002753,0.003838,0.003947
0.001868,0.001897,0.002883,0.002463,0.003213,0.002795,0.002798,0.002505,0.004769,0.002469,0.002274
0.003263,0.003681,0.004898,0.005328,0.005476,0.00826,0.004402,0.004052,0.006514,0.004653,0.005203
0.000906,0.000885,0.005394,0.001157,0.003199,0.002632,0.001609,0.001707,0.002205,0.001769,0.004619
0.018013,0.026653,0.015968,0.025911,0.022909,0.018762,0.023632,0.015709,0.020975,0.011969,0.041537
0.03123,0.027443,0.047707,0.008024,0.013981,0.05473,0.018035,0.035795,0.005625,0.035573,0.011652
0.021245,0.031343,0.026046,0.006215,0.014043,0.02311,0.012702,0.018064,0.007171,0.019987,0.009113
0.034363,0.037246,0.036572,0.010274,0.016158,0.032581,0.022306,0.028564,0.026326,0.027679,0.035147
0.093032,0.137888,0.088221,0.000938,0.000878,0.085432,0.000797,0.06969,0.001082,0.06401,0.001382
0.019484,0.027267,0.023623,0.009644,0.009395,0.022292,0.009813,0.016836,0.010958,0.025001,0.01216
0.003059,0.002257,0.001825,0.003156,0.003385,0.001808,0.003035,0.00399,0.002317,0.001547,0.002354
0.054563,0.061682,0.061846,0.015202,0.015667,0.057467,0.014854,0.066309,0.00685,0.053588,0.00745
0.460946,0.200013,0.252617,0.641204,0.521621,0.379521,0.512728,0.357737,0.286997,0.190919,0.226787
0.017468,0.030245,0.02269,0.031031,0.026559,0.019061,0.028844,0.013644,0.033157,0.017802,0.024815
