sigmod21,sigmod21_adaptive,one_ring_muthu_leap,one_ring_muthu_leap_adaptive,backward_only,backward_only_muthu,backward_only_adaptive,backward_only_adaptive_muthu
27661000.0,33322000.0,4761000.0,7012000.0,27176000.0,10001000.0,29272000.0,10921000.0
353000.0,330000.0,12054000.0,14527000.0,324000.0,8700000.0,411000.0,8085000.0
48497000.0,52740000.0,164552000.0,98927000.0,102017000.0,171606000.0,61587000.0,130496000.0
11160000.0,23052000.0,26882000.0,27435000.0,20641000.0,17211000.0,48517000.0,30513000.0
518000.0,532000.0,3165000.0,3768000.0,6282000.0,3539000.0,5153000.0,2261000.0
32239000.0,33277000.0,40249000.0,32861000.0,167539000.0,36825000.0,128035000.0,51736000.0
50757000.0,234264000.0,47463000.0,60149000.0,58894000.0,31809000.0,131244000.0,50346000.0
49873000.0,41445000.0,13977000.0,10014000.0,60243000.0,9938000.0,34576000.0,11740000.0
23682000.0,43104000.0,12332000.0,8595000.0,17874000.0,8306000.0,24407000.0,9677000.0
16153000.0,16208000.0,14172000.0,5887000.0,31057000.0,10359000.0,17106000.0,5478000.0
25347000.0,38771000.0,10160000.0,10382000.0,27642000.0,9691000.0,30806000.0,15330000.0
11354000.0,19211000.0,19720000.0,12201000.0,19829000.0,11418000.0,21431000.0,13395000.0
4490000.0,8343000.0,16257000.0,13506000.0,9460000.0,6066000.0,6980000.0,8291000.0
329628000.0,58553000.0,329095000.0,12313000.0,301773000.0,277289000.0,59138000.0,10357000.0
88540000.0,127490000.0,17643000.0,8481000.0,73318000.0,6651000.0,67979000.0,11005000.0
2624000.0,4633000.0,12089000.0,2847000.0,3408000.0,1878000.0,3504000.0,2282000.0
15951000.0,20255000.0,63285000.0,33657000.0,25510000.0,18865000.0,33464000.0,19811000.0
72350000.0,2929000.0,2527000.0,7822000.0,64010000.0,1580000.0,2330000.0,5356000.0
23341000.0,29619000.0,159870000.0,122525000.0,28177000.0,105434000.0,28160000.0,92504000.0
78533000.0,30870000.0,23361000.0,3448000.0,92306000.0,22616000.0,41431000.0,2777000.0
15331000.0,22642000.0,8313000.0,7817000.0,14584000.0,9698000.0,17866000.0,4945000.0
537000.0,1633000.0,225256000.0,274907000.0,955000.0,166502000.0,2300000.0,230888000.0
20379000.0,23352000.0,7323000.0,8287000.0,20136000.0,10291000.0,22796000.0,10239000.0
21940000.0,28299000.0,82992000.0,116346000.0,30188000.0,84169000.0,34640000.0,96265000.0
12280000.0,19532000.0,172462000.0,94150000.0,16874000.0,112401000.0,18764000.0,83161000.0
1580000.0,1987000.0,967000.0,1633000.0,1053000.0,850000.0,922000.0,1187000.0
37300000.0,47727000.0,38130000.0,45480000.0,58977000.0,41862000.0,59595000.0,54054000.0
12645000.0,16699000.0,12720000.0,5648000.0,10572000.0,12912000.0,12677000.0,5729000.0
12729000.0,12423000.0,36724000.0,22397000.0,6913000.0,31304000.0,7571000.0,18564000.0
1299000.0,3163000.0,814000.0,980000.0,2136000.0,1257000.0,1787000.0,2166000.0
5367000.0,7632000.0,84941000.0,40815000.0,5239000.0,83423000.0,5210000.0,40027000.0
10514000.0,12043000.0,11117000.0,11841000.0,7083000.0,8635000.0,6588000.0,9850000.0
9220000.0,8765000.0,10648000.0,1097000.0,8212000.0,4040000.0,4642000.0,687000.0
5302000.0,6376000.0,6701000.0,14769000.0,3624000.0,2925000.0,6249000.0,9591000.0
14170000.0,15884000.0,674000.0,447000.0,17785000.0,728000.0,20367000.0,567000.0
73799000.0,82239000.0,194556000.0,205026000.0,107947000.0,134458000.0,118378000.0,156463000.0
22310000.0,24183000.0,344968000.0,354079000.0,24966000.0,263961000.0,25130000.0,272948000.0
16139000.0,20696000.0,27512000.0,55102000.0,18097000.0,33284000.0,20268000.0,50784000.0
505000.0,909000.0,2622000.0,3675000.0,501000.0,1308000.0,853000.0,1360000.0
85185000.0,118675000.0,249532000.0,288414000.0,126224000.0,252274000.0,136597000.0,237267000.0
3101000.0,4265000.0,3010000.0,6354000.0,2427000.0,3270000.0,3279000.0,2497000.0
16970000.0,21239000.0,74743000.0,100519000.0,20945000.0,63533000.0,23812000.0,81372000.0
15964000.0,18401000.0,4480000.0,3424000.0,11339000.0,4003000.0,9891000.0,1471000.0
13797000.0,19380000.0,1985000.0,4707000.0,14688000.0,2618000.0,23649000.0,2394000.0
3827000.0,4610000.0,129040000.0,127414000.0,3639000.0,80497000.0,6469000.0,77793000.0
1315000.0,1811000.0,863000.0,1216000.0,1422000.0,1062000.0,1034000.0,733000.0
6170000.0,7865000.0,2963000.0,2899000.0,6618000.0,3548000.0,7218000.0,1154000.0
1580000.0,1705000.0,5019000.0,7583000.0,1005000.0,4463000.0,1772000.0,5580000.0
601000.0,1005000.0,3303000.0,3257000.0,324000.0,1755000.0,364000.0,1820000.0
1746000.0,1475000.0,7089000.0,11661000.0,914000.0,8092000.0,1006000.0,11562000.0
