backward_only,backward_only_adaptive,backward_only_muthu,sigmod21,one_ring_muthu_leap,one_ring_muthu_leap_adaptive,sigmod21_adaptive,backward_only_adaptive_muthu
0.001782,0.001876,0.165815,0.001647,0.059244,0.11941,0.002072,0.195806
0.007481,0.028722,0.018073,0.011956,0.017299,0.046826,0.033817,0.056918
0.001096,0.000836,0.000286,0.001771,0.000298,0.000224,0.001669,0.000771
0.001123,0.001001,0.012211,0.001591,0.019305,0.012979,0.001471,0.028675
0.009429,0.001509,0.061864,0.008136,0.084382,0.014929,0.002758,0.006474
0.022525,0.02198,0.010496,0.043389,0.013855,0.018452,0.04503,0.013403
0.002315,0.000749,0.001655,0.001816,0.001956,0.001021,0.000899,0.001399
0.007246,0.008233,0.002509,0.006108,0.001322,0.001206,0.010147,0.001366
0.005537,0.006305,0.045668,0.009591,0.048082,0.035544,0.00865,0.038401
0.039719,0.042202,0.021878,0.042268,0.016434,0.024631,0.044879,0.032614
0.001025,0.001269,0.008688,0.002289,0.009744,0.004456,0.002086,0.004592
0.058692,0.034875,0.068504,0.049916,0.050041,0.047981,0.035455,0.051261
0.022025,0.012213,0.009143,0.019057,0.009185,0.005334,0.015143,0.003061
0.02784,0.030919,0.01577,0.049294,0.025678,0.037826,0.047039,0.015862
0.008426,0.009208,0.00727,0.012197,0.012095,0.021795,0.012392,0.011664
0.001734,0.001328,0.106498,0.006826,0.137779,0.162727,0.001633,0.10058
0.013531,0.014718,0.013827,0.015084,0.014939,0.02104,0.016391,0.022248
0.015806,0.008173,0.002284,0.009839,0.002299,0.00326,0.009835,0.001966
0.033582,0.029945,0.00123,0.027232,0.001007,0.002118,0.032738,0.001349
0.194877,0.058781,0.195125,0.184771,0.189077,0.050277,0.038243,0.067025
0.007395,0.007223,0.011231,0.0129,0.017722,0.016191,0.016384,0.015311
0.035513,0.041967,0.047071,0.029469,0.032683,0.044412,0.0361,0.062357
0.005231,0.004436,0.00921,0.004303,0.005219,0.005973,0.004624,0.007067
0.052069,0.049421,0.069605,0.049824,0.055319,0.069359,0.054123,0.075438
0.00369,0.003816,0.001781,0.003894,0.001743,0.002923,0.004016,0.001565
0.01332,0.014469,0.004472,0.014887,0.003877,0.005684,0.015175,0.005771
0.008746,0.008636,0.026048,0.009763,0.020534,0.025727,0.011132,0.031181
0.00079,0.000718,0.019327,0.001076,0.030806,0.010409,0.000896,0.009476
0.049985,0.028768,0.043985,0.07483,0.071964,0.013321,0.028314,0.007167
0.018281,0.019845,0.005208,0.01403,0.003416,0.003429,0.017585,0.004137
0.002054,0.001059,0.008296,0.001953,0.007869,0.013767,0.001159,0.019866
0.003002,0.002974,0.001885,0.003765,0.003442,0.003538,0.004738,0.001739
0.003538,0.000906,0.001093,0.002654,0.001265,0.001562,0.001483,0.000884
0.053502,0.05657,0.126185,0.060638,0.095907,0.067075,0.060832,0.053186
0.011135,0.010252,0.006936,0.006002,0.008,0.004908,0.007838,0.00654
0.049764,0.023516,0.040665,0.042245,0.0392,0.000522,0.02075,0.000858
0.004195,0.0029,0.010295,0.004344,0.013974,0.008996,0.004877,0.011705
0.002389,0.001842,0.002346,0.002741,0.002865,0.002382,0.003079,0.001743
0.001519,0.001609,0.00238,0.001746,0.001928,0.001326,0.002727,0.001473
0.000313,0.000454,0.000331,0.000189,0.00022,0.000181,0.000371,0.000306
0.004769,0.004792,0.09961,0.006263,0.194812,0.022219,0.008709,0.018769
0.003859,0.00457,0.001808,0.004203,0.002334,0.003201,0.005684,0.001342
0.040184,0.047192,0.003705,0.033763,0.002333,0.001654,0.041115,0.001524
0.004278,0.000442,0.003171,0.00491,0.005146,0.000727,0.000636,0.000464
0.001283,0.000765,0.001486,0.001445,0.001958,0.000855,0.000799,0.001842
0.002853,0.002179,0.002922,0.002582,0.002146,0.003757,0.002519,0.00197
0.027635,0.024856,0.028392,0.020237,0.014335,0.012814,0.02021,0.008758
0.055492,0.055945,0.066833,0.035692,0.053628,0.004922,0.039782,0.004212
0.089502,0.104082,0.026869,0.091172,0.055001,0.025899,0.100164,0.030193
0.006512,0.006364,0.006713,0.004586,0.00671,0.00608,0.005072,0.008235
