sigmod21,sigmod21_adaptive,one_ring_muthu_leap,one_ring_muthu_leap_adaptive,backward_only,backward_only_muthu,backward_only_adaptive,backward_only_adaptive_muthu
1418000.0,2124000.0,8150000.0,3569000.0,1875000.0,3140000.0,849000.0,3230000.0
6437000.0,8214000.0,29535000.0,12248000.0,8420000.0,10644000.0,3609000.0,11452000.0
150000.0,166000.0,5112000.0,968000.0,429000.0,523000.0,168000.0,647000.0
437000.0,522000.0,2971000.0,1130000.0,702000.0,837000.0,563000.0,951000.0
2871000.0,2181000.0,3535000.0,2402000.0,2359000.0,1201000.0,1000000.0,950000.0
531000.0,1014000.0,2999000.0,912000.0,476000.0,1079000.0,444000.0,533000.0
2328000.0,7354000.0,13842000.0,4523000.0,3279000.0,4407000.0,10455000.0,4436000.0
4777000.0,10321000.0,13779000.0,5288000.0,3740000.0,4942000.0,8881000.0,3450000.0
412000.0,598000.0,1924000.0,679000.0,388000.0,588000.0,658000.0,433000.0
18841000.0,17254000.0,28586000.0,16222000.0,11794000.0,14386000.0,20298000.0,13060000.0
10634000.0,13279000.0,16107000.0,6650000.0,5047000.0,5425000.0,6240000.0,4532000.0
18791000.0,22123000.0,36003000.0,15769000.0,25904000.0,24152000.0,31358000.0,15327000.0
525000.0,1772000.0,2840000.0,554000.0,348000.0,869000.0,406000.0,423000.0
2923000.0,2728000.0,4504000.0,3742000.0,2775000.0,3031000.0,2173000.0,1678000.0
2946000.0,3095000.0,6027000.0,2900000.0,1618000.0,1532000.0,8902000.0,2058000.0
511000.0,469000.0,1628000.0,523000.0,284000.0,378000.0,487000.0,671000.0
5168000.0,4758000.0,7546000.0,4690000.0,2098000.0,2690000.0,2425000.0,3073000.0
10890000.0,10228000.0,12540000.0,11461000.0,9711000.0,9945000.0,10736000.0,13716000.0
475000.0,228000.0,903000.0,398000.0,292000.0,353000.0,299000.0,456000.0
324000.0,790000.0,1350000.0,511000.0,524000.0,529000.0,626000.0,501000.0
659000.0,138000.0,6645000.0,305000.0,141000.0,374000.0,326000.0,205000.0
10838000.0,12867000.0,29580000.0,15621000.0,13854000.0,15351000.0,20521000.0,17865000.0
13339000.0,27116000.0,18373000.0,12513000.0,6757000.0,7607000.0,10154000.0,6958000.0
8886000.0,7170000.0,10195000.0,5962000.0,10502000.0,7034000.0,8119000.0,4284000.0
1878000.0,1878000.0,3553000.0,2073000.0,2694000.0,2696000.0,3366000.0,1423000.0
4399000.0,4959000.0,11497000.0,5407000.0,3424000.0,4328000.0,3917000.0,3580000.0
190000.0,339000.0,828000.0,234000.0,204000.0,434000.0,362000.0,223000.0
1122000.0,3262000.0,5411000.0,1223000.0,874000.0,2156000.0,2020000.0,806000.0
6109000.0,11604000.0,12554000.0,6911000.0,3718000.0,10797000.0,5919000.0,3594000.0
261000.0,338000.0,953000.0,354000.0,223000.0,927000.0,357000.0,275000.0
361000.0,996000.0,2135000.0,554000.0,331000.0,786000.0,442000.0,405000.0
5996000.0,8273000.0,9771000.0,6330000.0,4852000.0,11957000.0,8016000.0,6201000.0
7925000.0,10995000.0,14658000.0,11842000.0,7855000.0,9419000.0,13500000.0,8171000.0
4552000.0,6859000.0,8661000.0,7530000.0,2717000.0,4456000.0,5013000.0,2899000.0
8319000.0,12194000.0,14744000.0,11344000.0,7912000.0,11161000.0,12693000.0,8607000.0
82000.0,143000.0,326000.0,218000.0,82000.0,147000.0,147000.0,105000.0
1369000.0,2324000.0,3911000.0,2000000.0,1386000.0,1916000.0,1856000.0,2704000.0
1195000.0,1827000.0,2949000.0,1864000.0,1403000.0,1619000.0,1867000.0,1392000.0
2413000.0,2321000.0,3615000.0,2607000.0,926000.0,1279000.0,1455000.0,1173000.0
446000.0,1072000.0,1483000.0,756000.0,335000.0,1389000.0,435000.0,563000.0
1367000.0,1664000.0,4262000.0,1681000.0,928000.0,1213000.0,2376000.0,1014000.0
1409000.0,1988000.0,3812000.0,1755000.0,666000.0,1073000.0,1742000.0,945000.0
2732000.0,2923000.0,3954000.0,2920000.0,1348000.0,1451000.0,3859000.0,1214000.0
428000.0,1845000.0,1892000.0,838000.0,443000.0,737000.0,937000.0,624000.0
158000.0,450000.0,617000.0,260000.0,189000.0,344000.0,383000.0,251000.0
1379000.0,2587000.0,2974000.0,1827000.0,751000.0,1121000.0,1486000.0,1273000.0
10487000.0,16549000.0,21680000.0,14018000.0,8946000.0,14464000.0,17231000.0,11241000.0
425000.0,627000.0,764000.0,506000.0,232000.0,307000.0,425000.0,261000.0
7064000.0,6966000.0,7120000.0,4025000.0,4751000.0,3193000.0,4340000.0,4093000.0
3896000.0,4525000.0,4462000.0,3712000.0,1975000.0,3073000.0,2647000.0,2160000.0
