sigmod21,sigmod21_adaptive,one_ring_muthu_leap,one_ring_muthu_leap_adaptive,backward_only,backward_only_muthu,backward_only_adaptive,backward_only_adaptive_muthu,backward_only_leap,backward_only_leap_muthu,backward_only_leap_adaptive_muthu
0.001709,0.001746,0.001692,0.00164,0.00094,0.001112,0.000951,0.001075,0.001777,0.001852,0.00163
0.012765,0.012817,0.012199,0.012437,0.005915,0.006024,0.005904,0.006063,0.012731,0.013123,0.012044
0.003187,0.003171,0.003065,0.003077,0.001644,0.001702,0.001534,0.001597,0.003216,0.003412,0.002967
0.002238,0.002156,0.002189,0.002204,0.000891,0.001005,0.000902,0.000977,0.002262,0.002409,0.00211
0.000103,0.000105,0.000192,0.00019,0.000145,0.000208,0.000142,0.000194,0.00013,0.00024,0.000105
0.002914,0.002946,0.002943,0.003003,0.001941,0.002093,0.002053,0.002058,0.003006,0.003241,0.002881
0.002178,0.002294,0.002233,0.002152,0.001293,0.001322,0.001293,0.001338,0.002265,0.002402,0.002176
0.00136,0.001413,0.001385,0.001414,0.000758,0.000844,0.000761,0.000863,0.001406,0.00159,0.001303
0.002763,0.002851,0.002737,0.002822,0.001022,0.001113,0.001026,0.001104,0.002837,0.003128,0.00269
0.003106,0.003206,0.003068,0.003169,0.001993,0.002094,0.002019,0.002365,0.003117,0.003272,0.003025
0.000877,0.000922,0.000937,0.000928,0.00056,0.00065,0.000598,0.000638,0.000927,0.000964,0.00086
0.000191,0.000187,0.000208,0.000209,0.000148,0.000179,0.000149,0.000181,0.000225,0.000262,0.000185
0.000941,0.000953,0.000955,0.000909,0.000423,0.000485,0.000422,0.000504,0.000997,0.001032,0.000864
0.00636,0.00634,0.006148,0.006246,0.004619,0.00472,0.004612,0.004695,0.006254,0.006469,0.006001
0.001716,0.001737,0.001654,0.00171,0.000716,0.000771,0.000688,0.000733,0.001719,0.001921,0.001605
0.002225,0.002159,0.00219,0.002224,0.001133,0.001392,0.001162,0.001218,0.00223,0.002586,0.002055
0.00233,0.002277,0.002219,0.002266,0.001152,0.001252,0.001185,0.001171,0.002314,0.002397,0.002161
0.001632,0.001685,0.001717,0.001726,0.000775,0.000817,0.000734,0.000791,0.001687,0.001835,0.001636
0.002459,0.002506,0.002391,0.002469,0.001051,0.00104,0.001014,0.001003,0.002507,0.002587,0.002354
0.000818,0.00079,0.000796,0.000841,0.000441,0.000498,0.000477,0.000504,0.000834,0.000879,0.000767
0.004138,0.004166,0.004044,0.004074,0.002523,0.002595,0.002714,0.002564,0.0041,0.00437,0.003891
0.001772,0.00178,0.001755,0.001701,0.001242,0.0013,0.001293,0.001298,0.001775,0.001948,0.001667
0.001284,0.001364,0.001452,0.001407,0.001163,0.001284,0.001184,0.001318,0.001364,0.001516,0.0013
0.001781,0.001832,0.00181,0.001844,0.000833,0.000849,0.000866,0.00086,0.001921,0.001992,0.001757
0.001372,0.001376,0.001323,0.001347,0.000797,0.000844,0.000834,0.000828,0.001409,0.001403,0.001274
0.001841,0.001916,0.001828,0.001766,0.000822,0.000838,0.000844,0.000817,0.001896,0.001945,0.001795
0.000489,0.000505,0.000525,0.000526,0.000301,0.000343,0.000312,0.000332,0.000524,0.000577,0.000498
0.005324,0.005536,0.005126,0.005166,0.001972,0.002033,0.002014,0.002027,0.005287,0.005744,0.005104
8.5e-05,8.6e-05,9.6e-05,9.5e-05,0.000105,0.000105,0.0001,0.0001,0.00011,0.000111,8.4e-05
0.000121,0.000125,0.000144,0.000136,0.000116,0.000131,0.000116,0.000164,0.000139,0.000169,0.000118
0.00215,0.002181,0.002109,0.002121,0.001182,0.001167,0.001054,0.001015,0.002419,0.002465,0.002065
0.000112,0.000118,0.000146,0.000147,0.000119,0.000149,0.000109,0.000139,0.000149,0.000173,0.000108
0.014334,0.014539,0.013613,0.014298,0.007417,0.007576,0.007353,0.007578,0.014406,0.015096,0.013486
0.000246,0.000252,0.000274,0.000274,0.000183,0.00021,0.000186,0.000202,0.000311,0.000303,0.000237
0.004685,0.004779,0.004661,0.004799,0.001834,0.001926,0.001848,0.001996,0.004822,0.004956,0.004381
0.004342,0.004476,0.004396,0.004325,0.001757,0.001751,0.001819,0.001798,0.004481,0.004573,0.004145
0.001099,0.001112,0.00111,0.001105,0.000559,0.000574,0.000573,0.000586,0.001096,0.001161,0.001053
0.005319,0.005252,0.004992,0.005184,0.002223,0.002182,0.002097,0.002161,0.005423,0.005587,0.004913
0.031585,0.03135,0.030966,0.031074,0.027384,0.028074,0.027637,0.028444,0.031469,0.032608,0.030623
0.003117,0.003157,0.00287,0.002937,0.001209,0.001233,0.001274,0.001382,0.003142,0.003153,0.002933
0.001264,0.001338,0.00125,0.001265,0.000685,0.00072,0.000719,0.0008,0.001354,0.001407,0.001233
0.00107,0.001089,0.001071,0.00103,0.000619,0.000671,0.000586,0.000621,0.001066,0.001142,0.001002
0.000936,0.000946,0.000914,0.000911,0.000533,0.00052,0.000512,0.000559,0.001024,0.001031,0.000871
0.00013,0.000128,0.00018,0.000183,0.000126,0.000176,0.000123,0.000174,0.000163,0.000205,0.000124
0.000109,0.000109,0.000158,0.000157,0.000135,0.000175,0.000143,0.000165,0.000137,0.000177,0.000112
0.000352,0.000349,0.000377,0.000391,0.000204,0.000248,0.000204,0.000266,0.000376,0.000421,0.000325
0.006074,0.006,0.005937,0.005884,0.00314,0.003186,0.003128,0.003228,0.006095,0.006102,0.005771
0.013674,0.013225,0.012919,0.012802,0.007606,0.007652,0.007677,0.007949,0.013314,0.013546,0.012819
0.008071,0.010489,0.008008,0.008084,0.007047,0.00704,0.007082,0.007179,0.008469,0.008372,0.00789
0.001,0.001043,0.000997,0.000972,0.000607,0.000652,0.000654,0.000626,0.001051,0.001088,0.000982
