backward_only,backward_only_adaptive,backward_only_leap_adaptive_muthu,backward_only_muthu,backward_only_leap_muthu,sigmod21,one_ring_muthu_leap,backward_only_leap,one_ring_muthu_leap_adaptive,sigmod21_adaptive,backward_only_adaptive_muthu
0.000247,0.000253,0.000296,0.001885,0.001871,0.000394,0.00173,0.000305,0.00217,0.000311,0.002067
0.000877,0.001151,0.00246,0.002602,0.003261,0.001962,0.002739,0.002619,0.002811,0.001679,0.002439
0.002502,0.002114,0.004561,0.003922,0.00526,0.004995,0.005292,0.005164,0.00567,0.003604,0.003792
0.00567,0.000204,0.000272,0.000453,0.000461,0.000269,0.000692,0.000278,0.000472,0.00023,0.000873
0.011353,0.010478,0.015728,0.013604,0.014488,0.016975,0.013814,0.010731,0.013917,0.010414,0.016689
0.002051,0.001385,0.004123,0.001645,0.003429,0.005611,0.002973,0.002586,0.004109,0.00266,0.002651
0.000336,0.000329,0.000529,0.000349,0.000539,0.001505,0.000577,0.000511,0.000466,0.000599,0.000578
0.000707,0.002711,0.001562,0.001106,0.001074,0.001508,0.001124,0.001037,0.001132,0.000818,0.001159
0.023149,0.023046,0.010957,0.019276,0.007083,0.008745,0.008204,0.008326,0.007631,0.009277,0.018368
0.027166,0.027337,0.019944,0.035104,0.014515,0.015117,0.014201,0.01234,0.019848,0.01596,0.025737
0.005739,0.008599,0.010485,0.006159,0.008553,0.009368,0.013952,0.006616,0.007729,0.007056,0.007653
0.001088,0.000493,0.000554,0.00066,0.000582,0.000518,0.001914,0.000415,0.000607,0.000336,0.000734
0.003027,0.005743,0.009112,0.004552,0.006953,0.007313,0.011033,0.006469,0.007093,0.005078,0.006289
0.000143,0.000145,0.000285,0.000162,0.000197,0.000185,0.000454,0.000154,0.000159,0.000227,0.000248
0.001902,0.001387,0.00523,0.001653,0.00452,0.00328,0.007179,0.002871,0.003157,0.003753,0.002003
0.000399,0.000635,0.001103,0.000869,0.000868,0.000829,0.000929,0.000644,0.001008,0.001058,0.000605
0.000827,0.001131,0.001488,0.001143,0.002157,0.002901,0.001962,0.001011,0.001935,0.001163,0.001099
0.001674,0.001313,0.001687,0.002946,0.00209,0.002105,0.001861,0.001771,0.002107,0.001504,0.002161
0.001044,0.000485,0.000838,0.000711,0.000801,0.000712,0.001539,0.000579,0.000775,0.00083,0.000734
0.000561,0.000602,0.00115,0.000962,0.001401,0.001258,0.00127,0.001032,0.00122,0.001079,0.000973
