backward_only,backward_only_adaptive,backward_only_muthu,sigmod21,one_ring_muthu_leap,one_ring_muthu_leap_adaptive,sigmod21_adaptive,backward_only_adaptive_muthu
0.000255,0.000263,0.000839,0.000188,0.000436,0.000721,0.000183,0.0008
0.002807,0.003017,0.000912,0.001907,0.001963,0.001334,0.001078,0.000739
0.039773,0.050169,0.00922,0.010816,0.013116,0.009391,0.01094,0.012593
0.001427,0.002663,0.000476,0.000135,0.000388,0.000698,0.000137,0.001181
0.008549,0.015338,0.004513,0.004614,0.005585,0.005891,0.007483,0.00396
0.012514,0.019184,0.004474,0.006259,0.005908,0.005395,0.007732,0.005242
0.001476,0.002229,0.000492,0.001135,0.000912,0.001211,0.003927,0.000354
0.000856,0.002594,0.000409,0.000447,0.000676,0.000651,0.001491,0.000301
0.001058,0.001188,0.000486,0.001191,0.001883,0.001277,0.002878,0.000471
0.002994,0.00303,0.0011,0.00099,0.001833,0.001123,0.002188,0.001102
0.011817,0.012174,0.00462,0.006489,0.016346,0.006554,0.008566,0.004448
0.007311,0.00727,0.007223,0.009053,0.010213,0.007784,0.01054,0.004507
0.001397,0.003785,0.001559,0.004175,0.004992,0.00327,0.005723,0.001106
0.000904,0.001022,0.000584,0.000672,0.00138,0.000438,0.00159,0.000295
0.000613,0.000674,0.000676,0.00046,0.000802,0.00055,0.000843,0.00041
0.000759,0.000942,0.001559,0.001729,0.002171,0.001674,0.002159,0.000774
0.000431,0.000871,0.000856,0.000313,0.000773,0.0007,0.000684,0.000419
0.008117,0.008402,0.008069,0.010123,0.009041,0.010267,0.014572,0.00707
0.000359,0.000422,0.000828,0.000467,0.000809,0.000629,0.000584,0.000472
0.000406,0.000428,0.000583,0.000372,0.000848,0.000441,0.000689,0.000335
0.001385,0.001446,0.001435,0.003467,0.00243,0.002024,0.002983,0.001092
0.000302,0.000317,0.000543,0.000511,0.000625,0.000513,0.000613,0.000337
0.000758,0.000621,0.001712,0.00082,0.001215,0.000893,0.000985,0.00093
0.000785,0.001612,0.000834,0.000746,0.001515,0.000995,0.002638,0.000653
0.021827,0.028489,0.026819,0.024139,0.024834,0.023863,0.024751,0.039706
0.004512,0.003511,0.003336,0.004741,0.006099,0.005792,0.005716,0.004641
0.001227,0.001305,0.001184,0.00174,0.002513,0.00177,0.002761,0.001852
0.001062,0.001102,0.001159,0.000872,0.001187,0.001084,0.002135,0.000757
0.000831,0.000728,0.00255,0.001936,0.002849,0.003164,0.002544,0.000822
0.000409,0.000302,0.000815,0.00047,0.000579,0.000407,0.000657,0.000358
0.001209,0.000809,0.003025,0.002066,0.001668,0.001615,0.003434,0.001343
0.003253,0.002062,0.005259,0.003983,0.004598,0.003604,0.005949,0.002169
0.000361,0.000327,0.000615,0.000454,0.000537,0.000503,0.000621,0.00029
0.000198,0.000163,0.000344,0.000272,0.000339,0.000315,0.000386,0.000185
0.002832,0.002278,0.002911,0.004229,0.004786,0.003852,0.006492,0.001983
0.001639,0.001807,0.00114,0.003176,0.002371,0.002535,0.003033,0.000916
0.000314,0.000255,0.000212,0.000497,0.000378,0.000257,0.000562,0.000167
0.006679,0.006521,0.007227,0.010315,0.009385,0.01032,0.011258,0.005819
0.001158,0.001087,0.001288,0.001584,0.001877,0.001843,0.001859,0.001049
0.000207,0.000191,0.000174,0.00079,0.000508,0.00017,0.000571,0.00012
0.000159,0.000168,0.000338,0.000193,0.000279,0.000298,0.00026,0.001093
0.00058,0.000741,0.001964,0.000772,0.000792,0.000661,0.001099,0.000498
0.001173,0.002168,0.002535,0.001669,0.001628,0.001555,0.002031,0.001343
0.000535,0.000785,0.002443,0.001055,0.002461,0.001161,0.002193,0.000896
0.000232,0.000478,0.000393,0.000509,0.001792,0.001274,0.000741,0.000197
0.003013,0.003164,0.003267,0.002871,0.002737,0.005765,0.003734,0.001251
0.000548,0.000909,0.000633,0.000382,0.000572,0.00071,0.000573,0.000487
0.000692,0.001656,0.000867,0.000718,0.00087,0.001898,0.000918,0.000805
0.000739,0.000663,0.001443,0.002098,0.001289,0.002572,0.001318,0.000623
0.011977,0.010924,0.00905,0.010835,0.011432,0.011651,0.011258,0.008109
