sigmod21,sigmod21_adaptive,one_ring_muthu_leap,one_ring_muthu_leap_adaptive,backward_only,backward_only_muthu,backward_only_adaptive,backward_only_adaptive_muthu
8506000.0,9223000.0,10375000.0,12991000.0,13226000.0,16372000.0,12047000.0,18324000.0
131355000.0,136195000.0,79589000.0,881000.0,264823000.0,44784000.0,324637000.0,924000.0
697000.0,681000.0,1120000.0,1990000.0,4948000.0,1310000.0,7984000.0,1000000.0
314000.0,1078000.0,796000.0,649000.0,1396000.0,534000.0,1646000.0,519000.0
4662000.0,12278000.0,273000.0,283000.0,6550000.0,324000.0,9526000.0,273000.0
22122000.0,44815000.0,13405000.0,8048000.0,25621000.0,8269000.0,39481000.0,9544000.0
8863000.0,11196000.0,3858000.0,3403000.0,7178000.0,2419000.0,8669000.0,2623000.0
9424000.0,14995000.0,171593000.0,14828000.0,11348000.0,102939000.0,21924000.0,13642000.0
72138000.0,107146000.0,8100000.0,441000.0,85421000.0,819000.0,112734000.0,325000.0
1360000.0,3263000.0,1767000.0,986000.0,1179000.0,1091000.0,1571000.0,631000.0
93016000.0,121596000.0,93982000.0,108931000.0,131874000.0,134024000.0,151025000.0,146335000.0
446000.0,1196000.0,923000.0,1139000.0,385000.0,672000.0,504000.0,376000.0
8843000.0,7799000.0,4709000.0,6164000.0,6086000.0,4582000.0,5711000.0,5636000.0
20590000.0,3726000.0,19892000.0,2954000.0,17937000.0,14922000.0,2455000.0,2001000.0
2608000.0,3854000.0,2308000.0,4801000.0,1518000.0,1966000.0,2788000.0,1093000.0
3189000.0,2272000.0,2315000.0,3235000.0,1862000.0,2172000.0,2197000.0,2843000.0
19937000.0,23586000.0,9123000.0,7547000.0,18980000.0,6285000.0,15726000.0,3654000.0
11969000.0,13566000.0,19055000.0,25542000.0,9235000.0,26713000.0,9503000.0,30044000.0
2005000.0,800000.0,3463000.0,1224000.0,635000.0,1104000.0,585000.0,747000.0
5965000.0,4619000.0,7070000.0,8096000.0,4462000.0,8569000.0,6862000.0,5252000.0
3469000.0,6539000.0,3441000.0,4361000.0,2963000.0,3735000.0,3669000.0,3821000.0
49294000.0,55005000.0,102403000.0,126183000.0,60771000.0,121261000.0,47897000.0,130352000.0
13133000.0,23240000.0,14602000.0,7166000.0,10926000.0,12460000.0,14449000.0,10103000.0
482372000.0,585235000.0,944212000.0,588686000.0,571502000.0,1067805000.0,667307000.0,723611000.0
34181000.0,29538000.0,14682000.0,10357000.0,30236000.0,13617000.0,28381000.0,9738000.0
15750000.0,19287000.0,12699000.0,16371000.0,10279000.0,10515000.0,14026000.0,20226000.0
1673000.0,3979000.0,1346000.0,1480000.0,1698000.0,1550000.0,1801000.0,1390000.0
2094000.0,2916000.0,2669000.0,2619000.0,1511000.0,1510000.0,1440000.0,1552000.0
577375000.0,675965000.0,600291000.0,661018000.0,678016000.0,686223000.0,706197000.0,728555000.0
1381000.0,2566000.0,1090000.0,1023000.0,1117000.0,1496000.0,1245000.0,831000.0
6131000.0,8149000.0,6941000.0,7739000.0,5561000.0,4314000.0,4005000.0,3862000.0
5551000.0,6749000.0,24840000.0,13370000.0,4871000.0,20851000.0,3516000.0,13992000.0
470233000.0,512214000.0,136508000.0,122957000.0,268768000.0,99944000.0,296646000.0,94496000.0
138335000.0,158651000.0,22958000.0,22032000.0,176342000.0,17211000.0,170935000.0,20637000.0
7531000.0,9359000.0,1249000.0,601000.0,7551000.0,770000.0,13495000.0,538000.0
22186000.0,7462000.0,20385000.0,8824000.0,26180000.0,25345000.0,7195000.0,7577000.0
22814000.0,27054000.0,544000.0,723000.0,22278000.0,781000.0,25117000.0,653000.0
8430000.0,8847000.0,2402000.0,549000.0,3716000.0,1546000.0,3610000.0,443000.0
1694000.0,2060000.0,2812000.0,2002000.0,1091000.0,2012000.0,3241000.0,1505000.0
7831000.0,9949000.0,19249000.0,26120000.0,6205000.0,22344000.0,10660000.0,28114000.0
5683000.0,10082000.0,2385000.0,1221000.0,6054000.0,1406000.0,8395000.0,843000.0
10910000.0,22567000.0,1010000.0,1003000.0,14130000.0,2051000.0,19020000.0,1887000.0
1221000.0,2840000.0,1114000.0,1160000.0,1161000.0,928000.0,1028000.0,706000.0
83617000.0,87161000.0,596000.0,661000.0,29714000.0,1350000.0,38483000.0,625000.0
216128000.0,265657000.0,10686000.0,20805000.0,189541000.0,10956000.0,221065000.0,8140000.0
166206000.0,195655000.0,172616000.0,255693000.0,232671000.0,241638000.0,265773000.0,304658000.0
2932000.0,3867000.0,3462000.0,4990000.0,2282000.0,4916000.0,3389000.0,2268000.0
3482000.0,3491000.0,2917000.0,3724000.0,2527000.0,3450000.0,2930000.0,2634000.0
5819000.0,6418000.0,22851000.0,47616000.0,3670000.0,24310000.0,3616000.0,30407000.0
110223000.0,118286000.0,3098000.0,2495000.0,93368000.0,2248000.0,108727000.0,1332000.0
