backward_only,backward_only_adaptive,backward_only_leap_adaptive_muthu,backward_only_muthu,backward_only_leap_muthu,sigmod21,one_ring_muthu_leap,backward_only_leap,one_ring_muthu_leap_adaptive,sigmod21_adaptive,backward_only_adaptive_muthu
0.010249,0.017287,0.011558,0.015334,0.014229,0.013142,0.013431,0.012735,0.017021,0.008769,0.017086
0.004922,0.004902,0.006317,0.009103,0.006349,0.00504,0.0044,0.004147,0.005512,0.004517,0.018064
0.000919,0.000883,0.002237,0.001971,0.002659,0.003906,0.002583,0.001832,0.003245,0.0017,0.00247
0.206969,0.173748,0.219122,0.073259,0.091043,0.281242,0.08309,0.202997,0.106098,0.158877,0.075319
0.001497,0.002023,0.002594,0.00361,0.003664,0.003602,0.002194,0.00216,0.004346,0.002055,0.002984
0.003416,0.003626,0.006581,0.00389,0.006707,0.006964,0.006812,0.005302,0.006783,0.005783,0.005385
0.00372,0.004215,0.005307,0.005754,0.003746,0.005858,0.0039,0.003095,0.007156,0.005089,0.00895
0.016079,0.015204,0.035149,0.016842,0.020406,0.024665,0.017878,0.029418,0.019522,0.020515,0.018365
0.027582,0.025269,0.037328,0.025142,0.035116,0.034146,0.032396,0.035165,0.035393,0.055693,0.024109
0.015002,0.015989,0.017799,0.004089,0.006676,0.01567,0.006517,0.011905,0.005778,0.012597,0.007653
0.016128,0.016921,0.027909,0.002376,0.001873,0.02075,0.002622,0.017238,0.00182,0.017926,0.001134
0.013174,0.014926,0.024507,0.015509,0.019417,0.019963,0.02857,0.016759,0.024081,0.021183,0.017903
0.006994,0.010478,0.005916,0.006422,0.010222,0.010919,0.007506,0.007601,0.009245,0.00676,0.008186
0.001878,0.002397,0.004535,0.000495,0.000483,0.003507,0.000445,0.003125,0.000541,0.003249,0.000405
0.016279,0.018074,0.02057,0.003376,0.002728,0.018062,0.002747,0.013731,0.004787,0.014176,0.003196
0.012408,0.012932,0.012656,0.002965,0.004825,0.012685,0.002509,0.008855,0.004146,0.008595,0.003329
0.035785,0.034106,0.042895,0.05515,0.040713,0.041436,0.038168,0.036094,0.059798,0.033302,0.058122
0.00412,0.004388,0.005875,0.04937,0.07872,0.005502,0.069849,0.005432,0.041337,0.004648,0.048721
0.009735,0.010358,0.021303,0.122604,0.190794,0.014978,0.26033,0.013965,0.09003,0.010993,0.143891
0.003839,0.001508,0.002803,0.005449,0.007786,0.004207,0.003878,0.003683,0.002988,0.001722,0.003382
0.004305,0.00343,0.004335,0.006701,0.005888,0.003989,0.004236,0.003743,0.005211,0.002987,0.005601
0.002482,0.001309,0.002762,0.00232,0.002207,0.002563,0.002153,0.002107,0.002681,0.001823,0.001828
0.001737,0.000929,0.00085,0.000694,0.002083,0.001077,0.001225,0.000903,0.000713,0.001212,0.000817
0.011533,0.012527,0.011624,0.001454,0.002726,0.012694,0.003049,0.008913,0.003056,0.010023,0.002272
0.002023,0.002126,0.003323,0.003293,0.004846,0.003537,0.003473,0.00201,0.003407,0.002772,0.003394
0.000913,0.000948,0.001906,0.001125,0.001051,0.002382,0.001099,0.00135,0.002682,0.001524,0.001282
0.00067,0.000993,0.002332,0.000922,0.002052,0.001345,0.001246,0.000912,0.001297,0.001735,0.000924
0.000664,0.000397,0.0007,0.001596,0.001894,0.000657,0.001067,0.000558,0.000902,0.00057,0.000898
0.039188,0.044249,0.045291,0.165157,0.338576,0.037504,0.256182,0.028589,0.02866,0.032222,0.208224
0.053532,0.057859,0.12778,0.000729,0.000358,0.123118,0.000414,0.04736,0.001005,0.089731,0.000457
0.001331,0.000728,0.001541,0.001187,0.000275,0.001509,0.000354,0.001107,0.000385,0.001927,0.000257
0.011112,0.011152,0.015897,0.022363,0.03055,0.016671,0.030626,0.011926,0.005522,0.01188,0.027804
0.006705,0.006314,0.009195,0.00157,0.002179,0.011829,0.001203,0.009675,0.003291,0.008467,0.000921
0.002614,0.00238,0.004897,0.009667,0.004412,0.007004,0.003421,0.004218,0.00554,0.004124,0.003923
0.003538,0.004731,0.00639,0.004821,0.007255,0.007285,0.005857,0.006438,0.007396,0.005612,0.003633
0.014677,0.012625,0.019919,0.003051,0.00554,0.018943,0.002514,0.024603,0.005165,0.014398,0.001976
0.036106,0.025604,0.039361,0.012105,0.011141,0.040439,0.006346,0.026485,0.012526,0.038562,0.009272
0.002247,0.001696,0.003073,0.003056,0.003379,0.003295,0.002428,0.003256,0.003712,0.002853,0.002072
0.007363,0.008244,0.009485,0.000325,0.000583,0.007702,0.000263,0.006349,0.000707,0.005898,0.000277
0.01054,0.011008,0.013698,0.002462,0.003402,0.013272,0.002158,0.010258,0.003666,0.010456,0.006116
0.018824,0.023464,0.022547,0.002034,0.001795,0.017498,0.001329,0.013507,0.001291,0.015078,0.00358
0.00418,0.004174,0.010893,0.006442,0.008592,0.008567,0.007068,0.006809,0.009731,0.007825,0.011669
0.382603,0.448538,0.481121,0.044677,0.096717,0.446895,0.059915,0.367429,0.014066,0.34634,0.076755
0.000968,0.00126,0.001721,0.0109,0.019875,0.001177,0.016843,0.000988,0.008961,0.001778,0.008699
0.007059,0.003236,0.003709,0.009497,0.013613,0.011843,0.017148,0.009095,0.004849,0.002567,0.004427
0.049815,0.072565,0.069942,0.027723,0.037971,0.065824,0.041522,0.048988,0.009336,0.051378,0.024447
0.200816,0.286142,0.200061,0.263946,0.17404,0.185833,0.1844,0.152074,0.238331,0.153594,0.339839
0.004075,0.006822,0.009252,0.125533,0.095544,0.008111,0.094818,0.006678,0.120301,0.007407,0.169992
0.018121,0.028462,0.037608,0.003021,0.003762,0.030181,0.00671,0.020417,0.006279,0.033505,0.003789
0.011682,0.002784,0.00331,0.015403,0.017545,0.016857,0.017049,0.012539,0.003344,0.002541,0.003651
