sigmod21,sigmod21 Best GAO,one_ring_muthu_leap,one_ring_muthu_leap Best GAO,backward_only,backward_only Best GAO,backward_only_muthu,backward_only_muthu Best GAO
2048000,,649000,,1617000,603999,1468000,119999
11010000,,1188000,,10548000,4232000,2774000,428000
35649000,,32040000,,202630000,21584000,38433000,17606000
49677000,,81294000,,124741000,48651000,84456000,52646000
23176000,,12704000,,100479000,21441000,15955000,7484999
12802000,,4619000,,37415000,4452999,3992000,1733999
6834000,,5695000,,16370000,1026000,3781000,2045000
5033000,,13957000,,10315000,963000,11566000,7024000
61410000,,81264000,,126350000,34283000,61542000,48378000
7549000,,4773000,,9281000,1545999,2270000,1246999
27716000,,1512000,,49550000,12603999,909000,410999
3525000,,2320000,,3428000,549000,1872000,453000
6872000,,987000,,9631000,2856000,1689000,962000
173369000,,207367000,,294533000,153841000,140749000,144674000
5785000,,40133000,,6014000,1637000,13521000,14929000
3567000,,3129000,,3705000,534000,2922000,1285000
184362000,,171015000,,129640000,88840999,230209000,161342000
2453000,,3257000,,2289000,896000,2348000,1481000
52020000,,36662000,,27377000,13550999,29883000,22508000
1279000,,1479000,,1069000,268000,1175000,417000
7339000,,1957000,,6434000,2853000,2779000,1299000
5252000,,8410000,,5358000,1522999,5896000,3593000
220957000,,205620000,,180437000,129000000,179101000,172651000
19477000,,23670000,,25299000,10494000,40477000,23648000
16381000,,288000,,25304000,15229999,450000,199999
11462000,,9418000,,12491000,3179000,9975000,5628999
103995000,,14756000,,112960000,64635000,20919000,6167000
1565000,,301000,,1579000,355000,739000,197000
61542000,,31117000,,73568000,40764999,56250000,41881999
4199000,,4666000,,3147000,1077000,2870000,1450000
10437000,,19113000,,11390000,4763000,12160000,8139000
672000,,1616000,,761000,224000,1969000,924999
15381000,,10676000,,20877000,9663999,13954000,10175000
21484000,,50486000,,30038000,15442000,41075000,41037000
3872000,,276000,,1239000,578000,317000,166000
26247000,,2016000,,18613000,10896000,2307000,789000
47170000,,47393000,,40750000,34733000,34216000,31243999
3128000,,3095000,,2271000,857000,2167000,1182000
5476000,,4745000,,4419000,2030999,4524000,2812000
1971000,,2033000,,1304000,500999,2134000,673000
19890000,,19716000,,25640000,12227000,26199000,18934000
57965000,,14668000,,40213000,25464999,9991000,5680000
23853000,,10592000,,29100000,14523000,7331000,4412999
37126000,,19807000,,37780000,22400999,10809000,8728000
102383000,,594000,,120865000,78459000,1444000,1186000
22916000,,7974000,,26308000,13231000,14281000,6621999
1858000,,2718000,,1598000,656000,2862000,2219000
60719000,,15103000,,53692000,38167000,14686000,12636000
404630000,,507874000,,542388000,363892999,560860000,488623000
20093000,,28046000,,23187000,11666000,27370000,19792000
