sigmod21,sigmod21_adaptive,one_ring_muthu_leap,one_ring_muthu_leap_adaptive,backward_only,backward_only_muthu,backward_only_adaptive,backward_only_adaptive_muthu
12277000.0,11814000.0,14381000.0,13591000.0,62820000.0,18464000.0,21781000.0,17964000.0
5850000.0,5896000.0,7701000.0,6074000.0,22508000.0,6327000.0,7446000.0,5268000.0
2014000.0,2093000.0,3381000.0,2676000.0,10101000.0,2593000.0,15274000.0,1575000.0
277142000.0,225818000.0,117189000.0,104718000.0,514549000.0,52096000.0,689115000.0,88972000.0
3618000.0,11770000.0,3424000.0,3672000.0,5236000.0,2570000.0,6870000.0,3436000.0
12571000.0,11940000.0,7226000.0,6823000.0,5530000.0,3317000.0,13931000.0,3540000.0
5851000.0,18414000.0,3574000.0,8069000.0,6489000.0,3231000.0,9344000.0,6883000.0
31623000.0,55514000.0,20181000.0,21569000.0,28920000.0,12827000.0,42987000.0,16169000.0
33550000.0,46274000.0,57316000.0,34741000.0,29625000.0,19422000.0,36894000.0,26778000.0
15976000.0,30701000.0,8483000.0,5865000.0,29973000.0,4628000.0,30763000.0,3751000.0
21104000.0,26232000.0,8176000.0,1332000.0,23249000.0,5545000.0,52200000.0,969000.0
19957000.0,52815000.0,59367000.0,21472000.0,21432000.0,46938000.0,35019000.0,13105000.0
17674000.0,15162000.0,8258000.0,9226000.0,5934000.0,6992000.0,7706000.0,4239000.0
3803000.0,10384000.0,431000.0,393000.0,2647000.0,290000.0,4036000.0,214000.0
17282000.0,22618000.0,2548000.0,4814000.0,21238000.0,2357000.0,22385000.0,3105000.0
15944000.0,15304000.0,2853000.0,3803000.0,16284000.0,2524000.0,18535000.0,2105000.0
44059000.0,49922000.0,51717000.0,58925000.0,38308000.0,42192000.0,42515000.0,56296000.0
6961000.0,7882000.0,69705000.0,40230000.0,5432000.0,53555000.0,5858000.0,27038000.0
13228000.0,17087000.0,291950000.0,121139000.0,9989000.0,127450000.0,13508000.0,86144000.0
9841000.0,3584000.0,10562000.0,3586000.0,3528000.0,7107000.0,2230000.0,2151000.0
6707000.0,4925000.0,8945000.0,6832000.0,5340000.0,14952000.0,5484000.0,4644000.0
4841000.0,2959000.0,4316000.0,3325000.0,1344000.0,4158000.0,1322000.0,2280000.0
798000.0,2072000.0,1109000.0,804000.0,545000.0,2044000.0,979000.0,664000.0
10750000.0,22253000.0,3956000.0,2697000.0,14743000.0,2210000.0,17565000.0,4421000.0
3384000.0,7164000.0,3240000.0,3550000.0,2488000.0,2270000.0,3591000.0,2463000.0
2294000.0,2663000.0,1297000.0,1564000.0,1623000.0,6437000.0,2434000.0,1790000.0
1893000.0,6191000.0,1385000.0,1404000.0,1172000.0,1179000.0,1327000.0,1004000.0
1080000.0,1009000.0,1266000.0,906000.0,526000.0,2193000.0,942000.0,920000.0
37657000.0,48706000.0,330733000.0,27634000.0,49371000.0,193141000.0,54693000.0,17729000.0
123696000.0,131031000.0,550000.0,485000.0,90224000.0,2001000.0,80833000.0,507000.0
1251000.0,1680000.0,382000.0,349000.0,2740000.0,387000.0,1718000.0,280000.0
14279000.0,17988000.0,35917000.0,6281000.0,14785000.0,26661000.0,16428000.0,3036000.0
13454000.0,15659000.0,3369000.0,1364000.0,18211000.0,1663000.0,8067000.0,807000.0
6570000.0,8653000.0,8426000.0,5648000.0,5904000.0,4024000.0,3719000.0,2684000.0
7050000.0,8698000.0,8377000.0,7343000.0,12424000.0,3281000.0,3799000.0,4948000.0
19504000.0,21822000.0,4033000.0,2761000.0,18571000.0,2592000.0,17682000.0,1859000.0
38892000.0,40593000.0,11211000.0,9974000.0,39019000.0,9901000.0,40404000.0,10336000.0
3189000.0,3378000.0,3810000.0,3036000.0,1863000.0,2894000.0,1955000.0,2657000.0
9217000.0,9460000.0,460000.0,660000.0,8533000.0,328000.0,10545000.0,578000.0
12305000.0,15113000.0,3052000.0,3298000.0,12310000.0,3205000.0,13669000.0,2596000.0
18055000.0,21224000.0,1598000.0,1299000.0,23164000.0,1390000.0,26107000.0,928000.0
7715000.0,13336000.0,9296000.0,9543000.0,5524000.0,7177000.0,9706000.0,5449000.0
442609000.0,525919000.0,52515000.0,14244000.0,463416000.0,72061000.0,440557000.0,8921000.0
1423000.0,2553000.0,14563000.0,12325000.0,836000.0,14110000.0,2456000.0,6101000.0
14088000.0,5524000.0,12013000.0,6950000.0,10449000.0,11765000.0,4163000.0,2855000.0
88036000.0,76214000.0,45786000.0,11799000.0,65091000.0,25646000.0,68910000.0,7715000.0
181241000.0,221212000.0,183039000.0,239318000.0,234999000.0,219654000.0,264554000.0,287716000.0
8255000.0,14219000.0,93549000.0,123589000.0,5798000.0,114101000.0,5460000.0,149112000.0
34669000.0,50170000.0,5619000.0,6532000.0,23975000.0,3539000.0,27939000.0,3436000.0
16034000.0,4667000.0,17600000.0,4742000.0,13194000.0,13084000.0,3449000.0,3234000.0
