J3,J4,P2,P3,P4,S1,S2,S3,S4,T2,T3,T4,Ti2,Ti3,Ti4,Tr1,Tr2
2812000,2523500,3131000,3212500,4328000,17702500,16958000,16293500,11918000,3084000,2946500,2069500,2961500,1673500,3000500,9652000,13299000
2467000,2223000,2311000,2772500,3803500,11470000,14207500,12271500,8156500,2613000,2114500,1869500,2330000,1289500,2623500,7821500,9391000
2499000,1575000,2485000,3128500,3376500,10223000,11735500,8632500,13181500,2889000,2287000,2144000,2221500,1536500,2484000,6689000,5957500
2196000,1740500,2700000,2785500,3259500,5343000,9171000,7780000,6864500,2449000,1886000,1552000,2099500,1337000,2251000,2950500,5145000
1448000,1249500,2151500,2915500,3010000,19476500,16546000,11963000,7632000,1757000,1789500,1021500,2264500,671000,1353000,8493500,10740500
1899500,1374500,2310000,2938000,2472500,6568500,12530500,10462500,10373000,2058000,1961500,1656000,2055000,1067000,1686500,2865000,4760500
1361000,1035500,2549500,2235500,2545000,11557500,11839500,11374000,6195000,1428000,1260500,860500,1973000,629500,1150000,6045500,6446000
1838500,1098500,2173000,3043000,2763000,6828000,25458000,9297500,9143000,2494500,1690500,1303000,1889500,830000,1585000,3343000,4331000
1984000,1779500,1378000,1741000,2013500,8623500,11331500,11995500,6624500,2138500,3131500,3641000,2064500,2588000,4745500,5366000,6414500
444500,387000,402000,666000,652500,1787500,2833000,2360000,2207000,531499.5,519500,603000,336500,213500,462000,1126500,1054500
56248500,802854500,1456475,13639000,165800500,2108500,33547500,7277000,5263000,806000,5330500,54246500,4371500,55018500,9790505000,338500,902000
